metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3
lineage_citation_f1,higher_is_better,macro_equal_patient_mean,0.09073079698079699,3,0.12704985669862365,3,0.2915785436646421,3,0.35628358381079844,3,0.3465686795931185,3,0.3502855576268846,3,0.1409016422174317,3,0.2880143112701253,3,NULL
contradiction_handling,higher_is_better,macro_equal_patient_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,NULL
correction_recovery,higher_is_better,macro_equal_patient_mean,0.1201923076923077,2,0.4201923076923077,2,0.35,2,0.35,2,0.40192307692307694,2,0.34423076923076923,2,0.36923076923076925,2,0.0,2,NULL
retrieval_precision,higher_is_better,macro_equal_patient_mean,0.029166666666666664,3,0.13316498316498318,3,0.17227129352129353,3,0.17329899267399265,3,0.16630020442520443,3,0.171528379028379,3,0.06761904761904762,3,0.3792412617220801,3,NULL
retrieval_recall,higher_is_better,macro_equal_patient_mean,0.048749999999999995,3,0.2048278110778111,3,0.3881433612683613,3,0.4501546601546602,3,0.4199998381248382,3,0.4403896335146336,3,0.1696666065416065,3,0.6306878306878306,3,NULL
activation_precision,higher_is_better,macro_equal_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.06761904761904762,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
activation_recall,higher_is_better,macro_equal_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.1696666065416065,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
tokens_per_query,lower_is_better,macro_equal_patient_mean,1579.2833333333335,3,2684.6,3,2059.116666666667,3,2217.183333333333,3,2221.7833333333333,3,2199.5333333333333,3,3086.7666666666664,3,2622.316666666667,3,NULL
p95_latency,lower_is_better,macro_equal_patient_mean,51605.666666666664,3,116479.66666666667,3,85387.33333333333,3,102734.0,3,112276.33333333333,3,134023.66666666666,3,116704.33333333333,3,54049.01666666666,3,NULL
total_cost,lower_is_better,macro_equal_patient_mean,0.00767125,3,0.01212045,3,0.010127899999999997,3,0.010486599999999999,3,0.010495449999999998,3,0.010661950000000002,3,0.0127973,3,0.0112736,3,NULL
memory_update_accuracy,higher_is_better,macro_equal_patient_mean,0.2976190476190476,3,0.31666666666666665,3,0.22142857142857142,3,0.26904761904761904,3,0.3246031746031746,3,0.5944444444444444,3,0.30476190476190473,3,NULL,0,missing_generated_state_transitions
state_recovery_time,lower_is_better,macro_equal_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1.0,2,NULL,0,no_recovery_event
offline_csm_update_cost,lower_is_better,macro_equal_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
online_query_cost,lower_is_better,macro_equal_patient_mean,0.00038356250000000006,3,0.0006060225,3,0.0005063949999999999,3,0.0005243299999999999,3,0.0005247725,3,0.0005330975,3,0.000639865,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
operational_wall_clock_latency_ms,lower_is_better,macro_equal_patient_mean,24351.55,3,65760.08333333333,3,59106.76666666666,3,71803.75,3,116032.5,3,110972.95,3,100816.83333333333,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
processing_latency_ms,lower_is_better,macro_equal_patient_mean,24343.3,3,65749.95,3,59073.71666666667,3,71770.48333333332,3,116024.86666666665,3,110948.13333333335,3,100779.01666666666,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
provider_generation_latency_ms,lower_is_better,macro_equal_patient_mean,24343.3,3,65749.95,3,59073.71666666667,3,71770.48333333332,3,116024.86666666665,3,110948.13333333335,3,100779.01666666666,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
retrieval_activation_latency_ms,lower_is_better,macro_equal_patient_mean,8.25,3,10.133333333333333,3,33.050000000000004,3,33.266666666666666,3,7.633333333333333,3,24.816666666666666,3,37.81666666666667,3,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results
