patient,metric_name,system,applicable,value,numerator,denominator,reason_not_applicable,details_status,diagnosis
SYN-CSM-001,operational_wall_clock_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,processing_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,provider_generation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,retrieval_activation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,state_accuracy,csm_v3,True,0.0,0.0,32.0,NULL,measured,measured
SYN-CSM-002,temporal_consistency,csm_v3,False,NULL,NULL,NULL,missing_temporal_ground_truth,not_applicable,missing_temporal_ground_truth
SYN-CSM-002,decision_f1,csm_v3,False,NULL,NULL,NULL,missing_predicted_decision_labels,not_applicable,missing_predicted_decision_labels
SYN-CSM-002,answer_accuracy,csm_v3,True,0.0,0.0,32.0,NULL,measured,measured
SYN-CSM-002,hallucination_rate,csm_v3,True,1.0,30.0,30.0,NULL,measured,measured
SYN-CSM-002,evidence_support_rate,csm_v3,True,0.0,0.0,30.0,NULL,measured,measured
SYN-CSM-002,unsupported_claim_rate,csm_v3,True,1.0,30.0,30.0,NULL,measured,measured
SYN-CSM-002,fabricated_citation_rate,csm_v3,True,0.47058823529411764,8.0,17.0,NULL,measured,measured
SYN-CSM-002,faithfulness,csm_v3,True,0.7666666666666667,23.0,30.0,NULL,measured,measured
SYN-CSM-002,groundedness,csm_v3,True,0.7666666666666667,23.0,30.0,NULL,measured,measured
SYN-CSM-002,expected_calibration_error,csm_v3,True,0.8919999999999999,0.8919999999999999,1.0,NULL,measured,measured
SYN-CSM-002,lineage_citation_f1,csm_v3,True,0.23076923076923078,3.0,9.0,NULL,measured,measured
SYN-CSM-002,contradiction_handling,csm_v3,True,0.0,0.0,1.0,NULL,measured,measured
SYN-CSM-002,correction_recovery,csm_v3,True,0.0,0.0,1.0,NULL,measured,measured
SYN-CSM-002,retrieval_precision,csm_v3,True,0.35,7.0,20.0,NULL,measured,measured
SYN-CSM-002,retrieval_recall,csm_v3,True,0.7777777777777778,7.0,9.0,NULL,measured,measured
SYN-CSM-002,activation_precision,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,activation_recall,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,tokens_per_query,csm_v3,True,2354.1,47082.0,20.0,NULL,measured,measured
SYN-CSM-002,p95_latency,csm_v3,True,32467.850000000002,NULL,NULL,NULL,measured,measured
SYN-CSM-002,total_cost,csm_v3,True,0.00993285,0.00993285,NULL,NULL,measured,measured
SYN-CSM-002,memory_update_accuracy,csm_v3,False,NULL,NULL,NULL,missing_generated_state_transitions,not_applicable,missing_generated_state_transitions
SYN-CSM-002,state_recovery_time,csm_v3,False,NULL,NULL,NULL,no_recovery_event,not_applicable,no_recovery_event
SYN-CSM-002,offline_csm_update_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,online_query_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,operational_wall_clock_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,processing_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,provider_generation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-002,retrieval_activation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,state_accuracy,csm_v3,True,0.0,0.0,36.0,NULL,measured,measured
SYN-CSM-003,temporal_consistency,csm_v3,False,NULL,NULL,NULL,missing_temporal_ground_truth,not_applicable,missing_temporal_ground_truth
SYN-CSM-003,decision_f1,csm_v3,False,NULL,NULL,NULL,missing_predicted_decision_labels,not_applicable,missing_predicted_decision_labels
SYN-CSM-003,answer_accuracy,csm_v3,True,0.0,0.0,36.0,NULL,measured,measured
SYN-CSM-003,hallucination_rate,csm_v3,True,1.0,47.0,47.0,NULL,measured,measured
SYN-CSM-003,evidence_support_rate,csm_v3,True,0.0,0.0,47.0,NULL,measured,measured
SYN-CSM-003,unsupported_claim_rate,csm_v3,True,1.0,47.0,47.0,NULL,measured,measured
SYN-CSM-003,fabricated_citation_rate,csm_v3,True,0.4827586206896552,14.0,29.0,NULL,measured,measured
SYN-CSM-003,faithfulness,csm_v3,True,0.9148936170212766,43.0,47.0,NULL,measured,measured
SYN-CSM-003,groundedness,csm_v3,True,0.9148936170212766,43.0,47.0,NULL,measured,measured
SYN-CSM-003,expected_calibration_error,csm_v3,True,0.8566666666666662,0.8566666666666662,1.0,NULL,measured,measured
SYN-CSM-003,lineage_citation_f1,csm_v3,True,0.32558139534883723,7.0,14.0,NULL,measured,measured
SYN-CSM-003,contradiction_handling,csm_v3,False,NULL,NULL,NULL,no_ground_truth_contradictions,not_applicable,no_ground_truth_contradictions
SYN-CSM-003,correction_recovery,csm_v3,False,NULL,NULL,NULL,no_correction_cases,not_applicable,no_correction_cases
SYN-CSM-003,retrieval_precision,csm_v3,True,0.43478260869565216,10.0,23.0,NULL,measured,measured
SYN-CSM-003,retrieval_recall,csm_v3,True,0.7142857142857143,10.0,14.0,NULL,measured,measured
SYN-CSM-003,activation_precision,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,activation_recall,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,tokens_per_query,csm_v3,True,2613.6,52272.0,20.0,NULL,measured,measured
SYN-CSM-003,p95_latency,csm_v3,True,68970.95,NULL,NULL,NULL,measured,measured
SYN-CSM-003,total_cost,csm_v3,True,0.011354399999999999,0.011354399999999999,NULL,NULL,measured,measured
SYN-CSM-003,memory_update_accuracy,csm_v3,False,NULL,NULL,NULL,missing_generated_state_transitions,not_applicable,missing_generated_state_transitions
SYN-CSM-003,state_recovery_time,csm_v3,False,NULL,NULL,NULL,no_recovery_event,not_applicable,no_recovery_event
SYN-CSM-003,offline_csm_update_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,online_query_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,operational_wall_clock_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,processing_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,provider_generation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-003,retrieval_activation_latency_ms,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
