metric_name,direction,rank,system,exact_value,n
fabricated_citation_rate,lower_is_better,7,dense_rag,0.0030816640986132513,59
fabricated_citation_rate,lower_is_better,8,csm_v3,0.4714285714285714,70.0
faithfulness,higher_is_better,1,csm_v3,0.8916666666666667,120.0
faithfulness,higher_is_better,2,graph_rag,0.6440277777777779,60
faithfulness,higher_is_better,3,hippo_rag,0.620409604519774,59
faithfulness,higher_is_better,4,hybrid_rag,0.6144067796610169,59
faithfulness,higher_is_better,5,dense_rag,0.5990112994350282,59
faithfulness,higher_is_better,6,rolling_summary,0.5727339181286549,57
faithfulness,higher_is_better,7,csm_v2,0.564366424535916,59
faithfulness,higher_is_better,8,long_context,0.47716346153846156,52
groundedness,higher_is_better,1,csm_v3,0.8916666666666667,120.0
groundedness,higher_is_better,2,graph_rag,0.6440277777777779,60
groundedness,higher_is_better,3,hippo_rag,0.620409604519774,59
groundedness,higher_is_better,4,hybrid_rag,0.6144067796610169,59
groundedness,higher_is_better,5,dense_rag,0.5990112994350282,59
groundedness,higher_is_better,6,rolling_summary,0.5727339181286549,57
groundedness,higher_is_better,7,csm_v2,0.564366424535916,59
groundedness,higher_is_better,8,long_context,0.47716346153846156,52
expected_calibration_error,lower_is_better,1,rolling_summary,0.07150326797385621,51
expected_calibration_error,lower_is_better,2,graph_rag,0.08838724168912851,53
expected_calibration_error,lower_is_better,3,hippo_rag,0.09819444444444446,54
expected_calibration_error,lower_is_better,4,csm_v2,0.0986269841269841,54
expected_calibration_error,lower_is_better,5,hybrid_rag,0.125954248366013,51
expected_calibration_error,lower_is_better,6,dense_rag,0.17696226415094332,53
expected_calibration_error,lower_is_better,7,long_context,0.1773214285714286,28
expected_calibration_error,lower_is_better,8,csm_v3,0.8918181818181816,110.0
lineage_citation_f1,higher_is_better,1,hybrid_rag,0.3567046074124795,59
lineage_citation_f1,higher_is_better,2,hippo_rag,0.3502855576268846,60
lineage_citation_f1,higher_is_better,3,graph_rag,0.34656867959311843,60
lineage_citation_f1,higher_is_better,4,csm_v3,0.2962962962962963,38.0
lineage_citation_f1,higher_is_better,5,dense_rag,0.2917671466200517,59
lineage_citation_f1,higher_is_better,6,csm_v2,0.1409016422174317,57
lineage_citation_f1,higher_is_better,7,rolling_summary,0.1275805271898888,59
lineage_citation_f1,higher_is_better,8,long_context,0.09091871091871093,45
contradiction_handling,higher_is_better,1,long_context,0.0,1
contradiction_handling,higher_is_better,1,rolling_summary,0.0,1
contradiction_handling,higher_is_better,1,dense_rag,0.0,1
contradiction_handling,higher_is_better,1,hybrid_rag,0.0,1
contradiction_handling,higher_is_better,1,graph_rag,0.0,1
contradiction_handling,higher_is_better,1,hippo_rag,0.0,1
contradiction_handling,higher_is_better,1,csm_v2,0.0,1
contradiction_handling,higher_is_better,1,csm_v3,0.0,1.0
correction_recovery,higher_is_better,1,rolling_summary,0.44565217391304346,23
correction_recovery,higher_is_better,2,graph_rag,0.43478260869565216,23
correction_recovery,higher_is_better,3,csm_v2,0.391304347826087,23
correction_recovery,higher_is_better,4,dense_rag,0.3695652173913043,23
correction_recovery,higher_is_better,4,hybrid_rag,0.3695652173913043,23
correction_recovery,higher_is_better,4,hippo_rag,0.3695652173913043,23
correction_recovery,higher_is_better,7,long_context,0.11956521739130435,23
correction_recovery,higher_is_better,8,csm_v3,0.0,2.0
retrieval_precision,higher_is_better,1,csm_v3,0.38333333333333336,60.0
retrieval_precision,higher_is_better,2,hybrid_rag,0.17329899267399265,60
retrieval_precision,higher_is_better,3,dense_rag,0.17227129352129353,60
retrieval_precision,higher_is_better,4,hippo_rag,0.171528379028379,60
retrieval_precision,higher_is_better,5,graph_rag,0.16630020442520443,60
retrieval_precision,higher_is_better,6,rolling_summary,0.13316498316498315,60
retrieval_precision,higher_is_better,7,csm_v2,0.06761904761904763,60
retrieval_precision,higher_is_better,8,long_context,0.029166666666666667,60
retrieval_recall,higher_is_better,1,csm_v3,0.6052631578947368,38.0
retrieval_recall,higher_is_better,2,hybrid_rag,0.45015466015466016,60
retrieval_recall,higher_is_better,3,hippo_rag,0.44038963351463334,60
retrieval_recall,higher_is_better,4,graph_rag,0.4199998381248379,60
retrieval_recall,higher_is_better,5,dense_rag,0.38814336126836124,60
retrieval_recall,higher_is_better,6,rolling_summary,0.20482781107781106,60
retrieval_recall,higher_is_better,7,csm_v2,0.1696666065416066,60
retrieval_recall,higher_is_better,8,long_context,0.048749999999999995,60
activation_precision,higher_is_better,1,csm_v2,0.06761904761904763,60
activation_recall,higher_is_better,1,csm_v2,0.1696666065416066,60
tokens_per_query,lower_is_better,1,long_context,1579.2833333333333,60
tokens_per_query,lower_is_better,2,dense_rag,2059.116666666667,60
tokens_per_query,lower_is_better,3,hippo_rag,2199.5333333333333,60
tokens_per_query,lower_is_better,4,hybrid_rag,2217.1833333333334,60
tokens_per_query,lower_is_better,5,graph_rag,2221.7833333333333,60
tokens_per_query,lower_is_better,6,csm_v3,2622.3166666666666,60.0
tokens_per_query,lower_is_better,7,rolling_summary,2684.6,60
tokens_per_query,lower_is_better,8,csm_v2,3086.766666666667,60
p95_latency,lower_is_better,1,long_context,42706.0,60
p95_latency,lower_is_better,2,csm_v3,68853.25,60
p95_latency,lower_is_better,3,dense_rag,126237.0,60
p95_latency,lower_is_better,4,hybrid_rag,127982.0,60
p95_latency,lower_is_better,5,csm_v2,128117.0,60
p95_latency,lower_is_better,6,hippo_rag,128597.0,60
p95_latency,lower_is_better,7,graph_rag,128680.0,60
p95_latency,lower_is_better,8,rolling_summary,129182.0,60
total_cost,lower_is_better,1,long_context,0.023013750000000006,60
total_cost,lower_is_better,2,dense_rag,0.030383700000000003,60
total_cost,lower_is_better,3,hybrid_rag,0.0314598,60
total_cost,lower_is_better,4,graph_rag,0.031486349999999996,60
total_cost,lower_is_better,5,hippo_rag,0.03198585,60
total_cost,lower_is_better,6,csm_v3,0.0338208,60
total_cost,lower_is_better,7,rolling_summary,0.03636135,60
total_cost,lower_is_better,8,csm_v2,0.03839190000000001,60
memory_update_accuracy,higher_is_better,1,hippo_rag,0.5499999999999999,12
memory_update_accuracy,higher_is_better,2,graph_rag,0.3416666666666666,12
memory_update_accuracy,higher_is_better,3,hybrid_rag,0.3,12
memory_update_accuracy,higher_is_better,4,csm_v2,0.25833333333333336,12
memory_update_accuracy,higher_is_better,5,dense_rag,0.21666666666666667,12
memory_update_accuracy,higher_is_better,6,long_context,0.20833333333333334,12
memory_update_accuracy,higher_is_better,7,rolling_summary,0.17500000000000002,12
state_recovery_time,lower_is_better,1,csm_v2,1.0,19
offline_csm_update_cost,lower_is_better,1,csm_v2,0.0,60
online_query_cost,lower_is_better,1,long_context,0.0003835625000000001,60
online_query_cost,lower_is_better,2,dense_rag,0.0005063950000000001,60
online_query_cost,lower_is_better,3,hybrid_rag,0.00052433,60
online_query_cost,lower_is_better,4,graph_rag,0.0005247724999999999,60
online_query_cost,lower_is_better,5,hippo_rag,0.0005330975,60
online_query_cost,lower_is_better,6,rolling_summary,0.0006060225,60
online_query_cost,lower_is_better,7,csm_v2,0.0006398650000000001,60
operational_wall_clock_latency_ms,lower_is_better,1,long_context,24351.55,60
operational_wall_clock_latency_ms,lower_is_better,2,dense_rag,59106.76666666667,60
operational_wall_clock_latency_ms,lower_is_better,3,rolling_summary,65760.08333333333,60
operational_wall_clock_latency_ms,lower_is_better,4,hybrid_rag,71803.75,60
operational_wall_clock_latency_ms,lower_is_better,5,csm_v2,100816.83333333333,60
operational_wall_clock_latency_ms,lower_is_better,6,hippo_rag,110972.95,60
operational_wall_clock_latency_ms,lower_is_better,7,graph_rag,116032.5,60
processing_latency_ms,lower_is_better,1,long_context,24343.3,60
processing_latency_ms,lower_is_better,2,dense_rag,59073.71666666667,60
processing_latency_ms,lower_is_better,3,rolling_summary,65749.95,60
processing_latency_ms,lower_is_better,4,hybrid_rag,71770.48333333334,60
processing_latency_ms,lower_is_better,5,csm_v2,100779.01666666666,60
processing_latency_ms,lower_is_better,6,hippo_rag,110948.13333333333,60
processing_latency_ms,lower_is_better,7,graph_rag,116024.86666666667,60
provider_generation_latency_ms,lower_is_better,1,long_context,24343.3,60
provider_generation_latency_ms,lower_is_better,2,dense_rag,59073.71666666667,60
provider_generation_latency_ms,lower_is_better,3,rolling_summary,65749.95,60
provider_generation_latency_ms,lower_is_better,4,hybrid_rag,71770.48333333334,60
provider_generation_latency_ms,lower_is_better,5,csm_v2,100779.01666666666,60
provider_generation_latency_ms,lower_is_better,6,hippo_rag,110948.13333333333,60
provider_generation_latency_ms,lower_is_better,7,graph_rag,116024.86666666667,60
retrieval_activation_latency_ms,lower_is_better,1,graph_rag,7.633333333333334,60
retrieval_activation_latency_ms,lower_is_better,2,long_context,8.25,60
retrieval_activation_latency_ms,lower_is_better,3,rolling_summary,10.133333333333333,60
retrieval_activation_latency_ms,lower_is_better,4,hippo_rag,24.816666666666666,60
retrieval_activation_latency_ms,lower_is_better,5,dense_rag,33.05,60
retrieval_activation_latency_ms,lower_is_better,6,hybrid_rag,33.266666666666666,60
retrieval_activation_latency_ms,lower_is_better,7,csm_v2,37.81666666666667,60
