metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3,csm_v3_source
tokens_per_query,lower_is_better,mean,1609.2,20,2959.45,20,2254.75,20,2508.9,20,2429.7,20,2384.25,20,3617.25,20,2899.25,20.0,NULL,evaluation_metric_results
p95_latency,lower_is_better,p95,96328.0,20,153626.0,20,153036.0,20,152365.0,20,79848.0,20,145559.0,20,94748.0,20,60708.25000000001,20,NULL,evaluation_metric_results
total_cost,lower_is_better,sum,0.00793845,20,0.013413000000000001,20,0.011070749999999999,20,0.011440800000000001,20,0.0116415,20,0.011614500000000002,20,0.014793750000000001,20,0.01253355,20,NULL,evaluation_metric_results
memory_update_accuracy,higher_is_better,macro_f1,0.14285714285714285,7,0.0,7,0.21428571428571427,7,0.35714285714285715,7,0.35714285714285715,7,0.5,7,0.21428571428571427,7,NULL,0,missing_generated_state_transitions,evaluation_metric_results
state_recovery_time,lower_is_better,median_with_censoring,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1.0,11,NULL,0,no_recovery_event,evaluation_metric_results
offline_csm_update_cost,lower_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
online_query_cost,lower_is_better,mean,0.00039692249999999997,20,0.0006706500000000001,20,0.0005535375,20,0.00057204,20,0.000582075,20,0.000580725,20,0.0007396875000000001,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
operational_wall_clock_latency_ms,lower_is_better,mean,36297.1,20,75494.85,20,88925.75,20,88384.5,20,88054.35,20,80399.1,20,49986.2,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
processing_latency_ms,lower_is_better,mean,36289.1,20,75484.55,20,88890.85,20,88349.25,20,88045.6,20,80370.85,20,49945.75,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
provider_generation_latency_ms,lower_is_better,mean,36289.1,20,75484.55,20,88890.85,20,88349.25,20,88045.6,20,80370.85,20,49945.75,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
retrieval_activation_latency_ms,lower_is_better,mean,8.0,20,10.3,20,34.9,20,35.25,20,8.75,20,28.25,20,40.45,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
