metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3,csm_v3_source
activation_recall,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.1696666065416066,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
tokens_per_query,lower_is_better,mean,1579.2833333333333,60,2684.6,60,2059.116666666667,60,2217.1833333333334,60,2221.7833333333333,60,2199.5333333333333,60,3086.766666666667,60,2622.3166666666666,60.0,NULL,evaluation_metric_results:numerator_denominator
p95_latency,lower_is_better,p95,42706.0,60,129182.0,60,126237.0,60,127982.0,60,128680.0,60,128597.0,60,128117.0,60,68853.25,60,NULL,token_results.csv:p95_interpolated_live_metric
total_cost,lower_is_better,sum,0.023013750000000006,60,0.03636135,60,0.030383700000000003,60,0.0314598,60,0.031486349999999996,60,0.03198585,60,0.03839190000000001,60,0.0338208,60,NULL,evaluation_metric_results:sum
memory_update_accuracy,higher_is_better,macro_f1,0.20833333333333334,12,0.17500000000000002,12,0.21666666666666667,12,0.3,12,0.3416666666666666,12,0.5499999999999999,12,0.25833333333333336,12,NULL,0,missing_generated_state_transitions,evaluation_metric_results
state_recovery_time,lower_is_better,median_with_censoring,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1.0,19,NULL,0,no_recovery_event,evaluation_metric_results
offline_csm_update_cost,lower_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
online_query_cost,lower_is_better,mean,0.0003835625000000001,60,0.0006060225,60,0.0005063950000000001,60,0.00052433,60,0.0005247724999999999,60,0.0005330975,60,0.0006398650000000001,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
operational_wall_clock_latency_ms,lower_is_better,mean,24351.55,60,65760.08333333333,60,59106.76666666667,60,71803.75,60,116032.5,60,110972.95,60,100816.83333333333,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
processing_latency_ms,lower_is_better,mean,24343.3,60,65749.95,60,59073.71666666667,60,71770.48333333334,60,116024.86666666667,60,110948.13333333333,60,100779.01666666666,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
provider_generation_latency_ms,lower_is_better,mean,24343.3,60,65749.95,60,59073.71666666667,60,71770.48333333334,60,116024.86666666667,60,110948.13333333333,60,100779.01666666666,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
retrieval_activation_latency_ms,lower_is_better,mean,8.25,60,10.133333333333333,60,33.05,60,33.266666666666666,60,7.633333333333334,60,24.816666666666666,60,37.81666666666667,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
