metric_category,metric_name,direction,rank,system,value,n
GROUNDING,hallucination_rate,lower_is_better,4,hybrid_rag,0.022598870056497175,59
GROUNDING,hallucination_rate,lower_is_better,5,csm_v4,0.03333333333333333,60
GROUNDING,hallucination_rate,lower_is_better,6,dense_rag,0.04519774011299436,59
GROUNDING,hallucination_rate,lower_is_better,7,csm_v2,0.05084745762711865,59
GROUNDING,hallucination_rate,lower_is_better,8,csm_v3,0.11607142857142858,56
GROUNDING,hallucination_rate,lower_is_better,9,long_context,0.23717948717948717,52
GROUNDING,evidence_support_rate,higher_is_better,1,graph_rag,0.6440277777777779,60
GROUNDING,evidence_support_rate,higher_is_better,2,hippo_rag,0.620409604519774,59
GROUNDING,evidence_support_rate,higher_is_better,3,hybrid_rag,0.6144067796610169,59
GROUNDING,evidence_support_rate,higher_is_better,4,csm_v4,0.6094444444444443,60
GROUNDING,evidence_support_rate,higher_is_better,5,dense_rag,0.5990112994350282,59
GROUNDING,evidence_support_rate,higher_is_better,6,rolling_summary,0.5727339181286549,57
GROUNDING,evidence_support_rate,higher_is_better,7,csm_v2,0.564366424535916,59
GROUNDING,evidence_support_rate,higher_is_better,8,csm_v3,0.5044642857142857,56
GROUNDING,evidence_support_rate,higher_is_better,9,long_context,0.47716346153846156,52
GROUNDING,unsupported_claim_rate,lower_is_better,1,graph_rag,0.0027777777777777775,60
GROUNDING,unsupported_claim_rate,lower_is_better,2,hippo_rag,0.002824858757062147,59
GROUNDING,unsupported_claim_rate,lower_is_better,3,rolling_summary,0.0035087719298245615,57
GROUNDING,unsupported_claim_rate,lower_is_better,4,hybrid_rag,0.022598870056497175,59
GROUNDING,unsupported_claim_rate,lower_is_better,5,csm_v4,0.03333333333333333,60
GROUNDING,unsupported_claim_rate,lower_is_better,6,dense_rag,0.04519774011299436,59
GROUNDING,unsupported_claim_rate,lower_is_better,7,csm_v2,0.05084745762711865,59
GROUNDING,unsupported_claim_rate,lower_is_better,8,csm_v3,0.11607142857142858,56
GROUNDING,unsupported_claim_rate,lower_is_better,9,long_context,0.23717948717948717,52
GROUNDING,fabricated_citation_rate,lower_is_better,1,long_context,0.0,45
GROUNDING,fabricated_citation_rate,lower_is_better,1,rolling_summary,0.0,59
GROUNDING,fabricated_citation_rate,lower_is_better,1,hybrid_rag,0.0,59
GROUNDING,fabricated_citation_rate,lower_is_better,1,graph_rag,0.0,60
GROUNDING,fabricated_citation_rate,lower_is_better,1,hippo_rag,0.0,60
GROUNDING,fabricated_citation_rate,lower_is_better,1,csm_v2,0.0,57
GROUNDING,fabricated_citation_rate,lower_is_better,1,csm_v4,0.0,59
GROUNDING,fabricated_citation_rate,lower_is_better,8,dense_rag,0.0030816640986132513,59
GROUNDING,fabricated_citation_rate,lower_is_better,9,csm_v3,0.006666666666666666,50
GROUNDING,faithfulness,higher_is_better,1,graph_rag,0.6440277777777779,60
GROUNDING,faithfulness,higher_is_better,2,hippo_rag,0.620409604519774,59
GROUNDING,faithfulness,higher_is_better,3,hybrid_rag,0.6144067796610169,59
GROUNDING,faithfulness,higher_is_better,4,csm_v4,0.6094444444444443,60
GROUNDING,faithfulness,higher_is_better,5,dense_rag,0.5990112994350282,59
GROUNDING,faithfulness,higher_is_better,6,rolling_summary,0.5727339181286549,57
GROUNDING,faithfulness,higher_is_better,7,csm_v2,0.564366424535916,59
GROUNDING,faithfulness,higher_is_better,8,csm_v3,0.5044642857142857,56
GROUNDING,faithfulness,higher_is_better,9,long_context,0.47716346153846156,52
GROUNDING,groundedness,higher_is_better,1,graph_rag,0.6440277777777779,60
GROUNDING,groundedness,higher_is_better,2,hippo_rag,0.620409604519774,59
GROUNDING,groundedness,higher_is_better,3,hybrid_rag,0.6144067796610169,59
GROUNDING,groundedness,higher_is_better,4,csm_v4,0.6094444444444443,60
GROUNDING,groundedness,higher_is_better,5,dense_rag,0.5990112994350282,59
GROUNDING,groundedness,higher_is_better,6,rolling_summary,0.5727339181286549,57
GROUNDING,groundedness,higher_is_better,7,csm_v2,0.564366424535916,59
GROUNDING,groundedness,higher_is_better,8,csm_v3,0.5044642857142857,56
GROUNDING,groundedness,higher_is_better,9,long_context,0.47716346153846156,52
QUALITY,expected_calibration_error,lower_is_better,1,rolling_summary,0.07150326797385621,51
QUALITY,expected_calibration_error,lower_is_better,2,graph_rag,0.08838724168912851,53
QUALITY,expected_calibration_error,lower_is_better,3,hippo_rag,0.09819444444444446,54
QUALITY,expected_calibration_error,lower_is_better,4,csm_v2,0.0986269841269841,54
QUALITY,expected_calibration_error,lower_is_better,5,hybrid_rag,0.125954248366013,51
QUALITY,expected_calibration_error,lower_is_better,6,csm_v3,0.1389455782312925,49
QUALITY,expected_calibration_error,lower_is_better,7,csm_v4,0.1438694968553459,53
QUALITY,expected_calibration_error,lower_is_better,8,dense_rag,0.17696226415094332,53
QUALITY,expected_calibration_error,lower_is_better,9,long_context,0.1773214285714286,28
GROUNDING,lineage_citation_f1,higher_is_better,1,hybrid_rag,0.3567046074124795,59
GROUNDING,lineage_citation_f1,higher_is_better,2,hippo_rag,0.3502855576268846,60
GROUNDING,lineage_citation_f1,higher_is_better,3,graph_rag,0.34656867959311843,60
GROUNDING,lineage_citation_f1,higher_is_better,4,dense_rag,0.2917671466200517,59
GROUNDING,lineage_citation_f1,higher_is_better,5,csm_v4,0.22939833388165815,59
GROUNDING,lineage_citation_f1,higher_is_better,6,csm_v2,0.1409016422174317,57
GROUNDING,lineage_citation_f1,higher_is_better,7,rolling_summary,0.1275805271898888,59
GROUNDING,lineage_citation_f1,higher_is_better,8,long_context,0.09091871091871093,45
GROUNDING,lineage_citation_f1,higher_is_better,9,csm_v3,0.077129150419473,50
QUALITY,contradiction_handling,higher_is_better,1,long_context,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,rolling_summary,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,dense_rag,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,hybrid_rag,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,graph_rag,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,hippo_rag,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,csm_v2,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,csm_v3,0.0,1
QUALITY,contradiction_handling,higher_is_better,1,csm_v4,0.0,1
TEMPORAL,correction_recovery,higher_is_better,1,rolling_summary,0.44565217391304346,23
TEMPORAL,correction_recovery,higher_is_better,2,graph_rag,0.43478260869565216,23
TEMPORAL,correction_recovery,higher_is_better,3,csm_v2,0.391304347826087,23
TEMPORAL,correction_recovery,higher_is_better,4,dense_rag,0.3695652173913043,23
TEMPORAL,correction_recovery,higher_is_better,4,hybrid_rag,0.3695652173913043,23
TEMPORAL,correction_recovery,higher_is_better,4,hippo_rag,0.3695652173913043,23
TEMPORAL,correction_recovery,higher_is_better,7,csm_v4,0.32608695652173914,23
TEMPORAL,correction_recovery,higher_is_better,8,csm_v3,0.2826086956521739,23
TEMPORAL,correction_recovery,higher_is_better,9,long_context,0.11956521739130435,23
RETRIEVAL,retrieval_precision,higher_is_better,1,hybrid_rag,0.17329899267399265,60
RETRIEVAL,retrieval_precision,higher_is_better,2,dense_rag,0.17227129352129353,60
RETRIEVAL,retrieval_precision,higher_is_better,3,hippo_rag,0.171528379028379,60
RETRIEVAL,retrieval_precision,higher_is_better,4,graph_rag,0.16630020442520443,60
RETRIEVAL,retrieval_precision,higher_is_better,5,rolling_summary,0.13316498316498315,60
RETRIEVAL,retrieval_precision,higher_is_better,6,csm_v4,0.10121337869789884,60
RETRIEVAL,retrieval_precision,higher_is_better,7,csm_v2,0.06761904761904763,60
RETRIEVAL,retrieval_precision,higher_is_better,8,csm_v3,0.04544372294372293,60
RETRIEVAL,retrieval_precision,higher_is_better,9,long_context,0.029166666666666667,60
RETRIEVAL,retrieval_recall,higher_is_better,1,hybrid_rag,0.45015466015466016,60
RETRIEVAL,retrieval_recall,higher_is_better,2,hippo_rag,0.44038963351463334,60
RETRIEVAL,retrieval_recall,higher_is_better,3,graph_rag,0.4199998381248379,60
RETRIEVAL,retrieval_recall,higher_is_better,4,dense_rag,0.38814336126836124,60
RETRIEVAL,retrieval_recall,higher_is_better,5,csm_v4,0.24624518999519,60
RETRIEVAL,retrieval_recall,higher_is_better,6,rolling_summary,0.20482781107781106,60
RETRIEVAL,retrieval_recall,higher_is_better,7,csm_v2,0.1696666065416066,60
RETRIEVAL,retrieval_recall,higher_is_better,8,csm_v3,0.06412037037037038,60
RETRIEVAL,retrieval_recall,higher_is_better,9,long_context,0.048749999999999995,60
RETRIEVAL,activation_precision,higher_is_better,1,csm_v4,0.10121337869789884,60
RETRIEVAL,activation_precision,higher_is_better,2,csm_v2,0.06761904761904763,60
RETRIEVAL,activation_precision,higher_is_better,3,csm_v3,0.04544372294372293,60
RETRIEVAL,activation_recall,higher_is_better,1,csm_v4,0.24624518999519,60
RETRIEVAL,activation_recall,higher_is_better,2,csm_v2,0.1696666065416066,60
RETRIEVAL,activation_recall,higher_is_better,3,csm_v3,0.06412037037037038,60
EFFICIENCY,tokens_per_query,lower_is_better,1,long_context,1579.2833333333333,60
EFFICIENCY,tokens_per_query,lower_is_better,2,dense_rag,2059.116666666667,60
EFFICIENCY,tokens_per_query,lower_is_better,3,hippo_rag,2199.5333333333333,60
EFFICIENCY,tokens_per_query,lower_is_better,4,hybrid_rag,2217.1833333333334,60
EFFICIENCY,tokens_per_query,lower_is_better,5,graph_rag,2221.7833333333333,60
EFFICIENCY,tokens_per_query,lower_is_better,6,csm_v3,2622.3166666666666,60
EFFICIENCY,tokens_per_query,lower_is_better,7,rolling_summary,2684.6,60
EFFICIENCY,tokens_per_query,lower_is_better,8,csm_v2,3086.766666666667,60
EFFICIENCY,tokens_per_query,lower_is_better,9,csm_v4,3626.4666666666667,60
EFFICIENCY,p95_latency,lower_is_better,1,long_context,42706.0,60
EFFICIENCY,p95_latency,lower_is_better,2,csm_v3,68848.0,60
EFFICIENCY,p95_latency,lower_is_better,3,dense_rag,126237.0,60
EFFICIENCY,p95_latency,lower_is_better,4,hybrid_rag,127982.0,60
EFFICIENCY,p95_latency,lower_is_better,5,csm_v2,128117.0,60
EFFICIENCY,p95_latency,lower_is_better,6,hippo_rag,128597.0,60
EFFICIENCY,p95_latency,lower_is_better,7,graph_rag,128680.0,60
EFFICIENCY,p95_latency,lower_is_better,8,rolling_summary,129182.0,60
EFFICIENCY,p95_latency,lower_is_better,9,csm_v4,185454.0,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,1,long_context,24343.3,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,2,csm_v3,37025.21666666667,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,3,dense_rag,59073.71666666667,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,4,rolling_summary,65749.95,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,5,hybrid_rag,71770.48333333334,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,6,csm_v2,100779.01666666666,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,7,hippo_rag,110948.13333333333,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,8,csm_v4,114549.25,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,9,graph_rag,116024.86666666667,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,1,graph_rag,7.633333333333334,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,2,long_context,8.25,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,3,rolling_summary,10.133333333333333,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,4,hippo_rag,24.816666666666666,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,5,csm_v3,29.266666666666666,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,6,dense_rag,33.05,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,7,hybrid_rag,33.266666666666666,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,8,csm_v4,35.483333333333334,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,9,csm_v2,37.81666666666667,60
EFFICIENCY,processing_latency_ms,lower_is_better,1,long_context,24343.3,60
EFFICIENCY,processing_latency_ms,lower_is_better,2,csm_v3,37025.21666666667,60
EFFICIENCY,processing_latency_ms,lower_is_better,3,dense_rag,59073.71666666667,60
EFFICIENCY,processing_latency_ms,lower_is_better,4,rolling_summary,65749.95,60
EFFICIENCY,processing_latency_ms,lower_is_better,5,hybrid_rag,71770.48333333334,60
EFFICIENCY,processing_latency_ms,lower_is_better,6,csm_v2,100779.01666666666,60
EFFICIENCY,processing_latency_ms,lower_is_better,7,hippo_rag,110948.13333333333,60
EFFICIENCY,processing_latency_ms,lower_is_better,8,csm_v4,114549.25,60
EFFICIENCY,processing_latency_ms,lower_is_better,9,graph_rag,116024.86666666667,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,1,long_context,24351.55,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,2,csm_v3,37054.48333333333,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,3,dense_rag,59106.76666666667,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,4,rolling_summary,65760.08333333333,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,5,hybrid_rag,71803.75,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,6,csm_v2,100816.83333333333,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,7,hippo_rag,110972.95,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,8,csm_v4,114584.73333333334,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,9,graph_rag,116032.5,60
COST,online_query_cost,lower_is_better,1,long_context,0.0003835625000000001,60
COST,online_query_cost,lower_is_better,2,dense_rag,0.0005063950000000001,60
COST,online_query_cost,lower_is_better,3,hybrid_rag,0.00052433,60
COST,online_query_cost,lower_is_better,4,graph_rag,0.0005247724999999999,60
COST,online_query_cost,lower_is_better,5,hippo_rag,0.0005330975,60
COST,online_query_cost,lower_is_better,6,csm_v3,0.00056368,60
COST,online_query_cost,lower_is_better,7,rolling_summary,0.0006060225,60
COST,online_query_cost,lower_is_better,8,csm_v2,0.0006398650000000001,60
COST,online_query_cost,lower_is_better,9,csm_v4,0.0007236775000000003,60
COST,offline_csm_update_cost,lower_is_better,1,csm_v2,0.0,60
COST,offline_csm_update_cost,lower_is_better,1,csm_v3,0.0,60
COST,offline_csm_update_cost,lower_is_better,1,csm_v4,0.0,60
COST,total_cost,lower_is_better,1,long_context,0.023013750000000006,60
COST,total_cost,lower_is_better,2,dense_rag,0.030383700000000003,60
COST,total_cost,lower_is_better,3,hybrid_rag,0.0314598,60
COST,total_cost,lower_is_better,4,graph_rag,0.031486349999999996,60
COST,total_cost,lower_is_better,5,hippo_rag,0.03198585,60
COST,total_cost,lower_is_better,6,csm_v3,0.0338208,60
COST,total_cost,lower_is_better,7,rolling_summary,0.03636135,60
COST,total_cost,lower_is_better,8,csm_v2,0.03839190000000001,60
COST,total_cost,lower_is_better,9,csm_v4,0.04342065000000002,60
STATE,memory_update_accuracy,higher_is_better,1,hippo_rag,0.5499999999999999,12
STATE,memory_update_accuracy,higher_is_better,2,csm_v4,0.4666666666666666,12
STATE,memory_update_accuracy,higher_is_better,3,graph_rag,0.3416666666666666,12
STATE,memory_update_accuracy,higher_is_better,4,hybrid_rag,0.3,12
STATE,memory_update_accuracy,higher_is_better,5,csm_v2,0.25833333333333336,12
STATE,memory_update_accuracy,higher_is_better,6,dense_rag,0.21666666666666667,12
STATE,memory_update_accuracy,higher_is_better,7,long_context,0.20833333333333334,12
STATE,memory_update_accuracy,higher_is_better,8,rolling_summary,0.17500000000000002,12
STATE,memory_update_accuracy,higher_is_better,8,csm_v3,0.17500000000000002,12
STATE,state_recovery_time,lower_is_better,1,csm_v2,1.0,19
STATE,state_recovery_time,lower_is_better,1,csm_v3,1.0,14
STATE,state_recovery_time,lower_is_better,1,csm_v4,1.0,16
