metric_category,metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,csm_v4_value,csm_v4_n
QUALITY,contradiction_handling,higher_is_better,macro_patient_component_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
TEMPORAL,correction_recovery,higher_is_better,macro_patient_success_rate,0.1201923076923077,2,0.4201923076923077,2,0.35,2,0.35,2,0.40192307692307694,2,0.34423076923076923,2,0.36923076923076925,2,0.2644230769230769,2,0.3057692307692308,2
RETRIEVAL,retrieval_precision,higher_is_better,macro_patient_macro_precision_at_k,0.029166666666666667,3,0.13316498316498315,3,0.1722712935212935,3,0.17329899267399268,3,0.1663002044252044,3,0.171528379028379,3,0.06761904761904762,3,0.04544372294372294,3,0.10121337869789881,3
RETRIEVAL,retrieval_recall,higher_is_better,macro_patient_macro_recall_at_k,0.04875,3,0.20482781107781106,3,0.38814336126836124,3,0.45015466015466016,3,0.41999983812483815,3,0.4403896335146336,3,0.16966660654160653,3,0.06412037037037037,3,0.24624518999519,3
RETRIEVAL,activation_precision,higher_is_better,macro_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.06761904761904762,3,0.04544372294372294,3,0.10121337869789881,3
RETRIEVAL,activation_recall,higher_is_better,macro_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.16966660654160653,3,0.06412037037037037,3,0.24624518999519,3
EFFICIENCY,tokens_per_query,lower_is_better,macro_patient_mean,1579.2833333333333,3,2684.6,3,2059.116666666667,3,2217.1833333333334,3,2221.7833333333333,3,2199.5333333333333,3,3086.766666666667,3,2622.3166666666666,3,3626.4666666666667,3
EFFICIENCY,p95_latency,lower_is_better,macro_patient_p95,51605.666666666664,3,116479.66666666667,3,85387.33333333333,3,102734.0,3,112276.33333333333,3,134023.66666666666,3,116704.33333333333,3,53803.666666666664,3,185791.33333333334,3
EFFICIENCY,provider_generation_latency_ms,lower_is_better,macro_patient_mean,24343.3,3,65749.95,3,59073.71666666667,3,71770.48333333334,3,116024.86666666667,3,110948.13333333333,3,100779.01666666666,3,37025.21666666667,3,114549.25,3
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,macro_patient_mean,8.25,3,10.133333333333333,3,33.05,3,33.266666666666666,3,7.633333333333333,3,24.816666666666666,3,37.81666666666667,3,29.266666666666666,3,35.483333333333334,3
EFFICIENCY,processing_latency_ms,lower_is_better,macro_patient_mean,24343.3,3,65749.95,3,59073.71666666667,3,71770.48333333334,3,116024.86666666667,3,110948.13333333333,3,100779.01666666666,3,37025.21666666667,3,114549.25,3
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,macro_patient_mean,24351.55,3,65760.08333333334,3,59106.76666666666,3,71803.75,3,116032.5,3,110972.95,3,100816.83333333333,3,37054.48333333334,3,114584.73333333334,3
COST,online_query_cost,lower_is_better,macro_patient_mean,0.0003835625,3,0.0006060225,3,0.0005063949999999999,3,0.0005243299999999999,3,0.0005247725,3,0.0005330975,3,0.000639865,3,0.00056368,3,0.0007236775,3
COST,offline_csm_update_cost,lower_is_better,macro_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,3,0.0,3,0.0,3
COST,total_cost,lower_is_better,macro_patient_sum,0.00767125,3,0.01212045,3,0.010127899999999999,3,0.0104866,3,0.01049545,3,0.01066195,3,0.0127973,3,0.0112736,3,0.01447355,3
STATE,memory_update_accuracy,higher_is_better,macro_patient_macro_f1,0.2976190476190476,3,0.31666666666666665,3,0.22142857142857142,3,0.26904761904761904,3,0.3246031746031746,3,0.5944444444444444,3,0.30476190476190473,3,0.1976190476190476,3,0.48333333333333334,3
STATE,state_recovery_time,lower_is_better,macro_patient_median_with_censoring,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1.0,2,1.0,2,1.0,2
