metric_category,metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,csm_v4_value,csm_v4_n
QUALITY,expected_calibration_error,lower_is_better,bin_weighted_error,0.1773214285714286,28,0.07150326797385621,51,0.17696226415094332,53,0.125954248366013,51,0.08838724168912851,53,0.09819444444444446,54,0.0986269841269841,54,0.1389455782312925,49,0.1438694968553459,53
GROUNDING,lineage_citation_f1,higher_is_better,macro_f1,0.09091871091871093,45,0.1275805271898888,59,0.2917671466200517,59,0.3567046074124795,59,0.34656867959311843,60,0.3502855576268846,60,0.1409016422174317,57,0.077129150419473,50,0.22939833388165815,59
QUALITY,contradiction_handling,higher_is_better,component_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
TEMPORAL,correction_recovery,higher_is_better,success_rate,0.11956521739130435,23,0.44565217391304346,23,0.3695652173913043,23,0.3695652173913043,23,0.43478260869565216,23,0.3695652173913043,23,0.391304347826087,23,0.2826086956521739,23,0.32608695652173914,23
RETRIEVAL,retrieval_precision,higher_is_better,macro_precision_at_k,0.029166666666666667,60,0.13316498316498315,60,0.17227129352129353,60,0.17329899267399265,60,0.16630020442520443,60,0.171528379028379,60,0.06761904761904763,60,0.04544372294372293,60,0.10121337869789884,60
RETRIEVAL,retrieval_recall,higher_is_better,macro_recall_at_k,0.048749999999999995,60,0.20482781107781106,60,0.38814336126836124,60,0.45015466015466016,60,0.4199998381248379,60,0.44038963351463334,60,0.1696666065416066,60,0.06412037037037038,60,0.24624518999519,60
RETRIEVAL,activation_precision,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.06761904761904763,60,0.04544372294372293,60,0.10121337869789884,60
RETRIEVAL,activation_recall,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.1696666065416066,60,0.06412037037037038,60,0.24624518999519,60
EFFICIENCY,tokens_per_query,lower_is_better,mean,1579.2833333333333,60,2684.6,60,2059.116666666667,60,2217.1833333333334,60,2221.7833333333333,60,2199.5333333333333,60,3086.766666666667,60,2622.3166666666666,60,3626.4666666666667,60
EFFICIENCY,p95_latency,lower_is_better,p95,42706.0,60,129182.0,60,126237.0,60,127982.0,60,128680.0,60,128597.0,60,128117.0,60,68848.0,60,185454.0,60
EFFICIENCY,provider_generation_latency_ms,lower_is_better,mean,24343.3,60,65749.95,60,59073.71666666667,60,71770.48333333334,60,116024.86666666667,60,110948.13333333333,60,100779.01666666666,60,37025.21666666667,60,114549.25,60
EFFICIENCY,retrieval_activation_latency_ms,lower_is_better,mean,8.25,60,10.133333333333333,60,33.05,60,33.266666666666666,60,7.633333333333334,60,24.816666666666666,60,37.81666666666667,60,29.266666666666666,60,35.483333333333334,60
EFFICIENCY,processing_latency_ms,lower_is_better,mean,24343.3,60,65749.95,60,59073.71666666667,60,71770.48333333334,60,116024.86666666667,60,110948.13333333333,60,100779.01666666666,60,37025.21666666667,60,114549.25,60
EFFICIENCY,operational_wall_clock_latency_ms,lower_is_better,mean,24351.55,60,65760.08333333333,60,59106.76666666667,60,71803.75,60,116032.5,60,110972.95,60,100816.83333333333,60,37054.48333333333,60,114584.73333333334,60
COST,online_query_cost,lower_is_better,mean,0.0003835625000000001,60,0.0006060225,60,0.0005063950000000001,60,0.00052433,60,0.0005247724999999999,60,0.0005330975,60,0.0006398650000000001,60,0.00056368,60,0.0007236775000000003,60
COST,offline_csm_update_cost,lower_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,60,0.0,60,0.0,60
COST,total_cost,lower_is_better,sum,0.023013750000000006,60,0.03636135,60,0.030383700000000003,60,0.0314598,60,0.031486349999999996,60,0.03198585,60,0.03839190000000001,60,0.0338208,60,0.04342065000000002,60
STATE,memory_update_accuracy,higher_is_better,macro_f1,0.20833333333333334,12,0.17500000000000002,12,0.21666666666666667,12,0.3,12,0.3416666666666666,12,0.5499999999999999,12,0.25833333333333336,12,0.17500000000000002,12,0.4666666666666666,12
STATE,state_recovery_time,lower_is_better,median_with_censoring,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1.0,19,1.0,14,1.0,16
