applicable,case_id,metric_name,repetition,system,value
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,graph_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,hippo_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,rolling_summary,0.15384615384615383
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,long_context,0.2105263157894737
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,hybrid_rag,0.28571428571428575
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,dense_rag,0.3111111111111111
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,hippo_rag,0.20512820512820512
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,graph_rag,0.21052631578947367
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,csm,0.1290322580645161
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,hybrid_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,long_context,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,dense_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,graph_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,csm,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,rolling_summary,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,hippo_rag,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,hybrid_rag,127772.05
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,dense_rag,80845.05000000003
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,rolling_summary,66710.45
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,long_context,27226.65
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,csm,127300.15
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,graph_rag,128492.1
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,hippo_rag,128433.6
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,csm,0.1111111111111111
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,hippo_rag,0.19444444444444445
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,graph_rag,0.2
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,hybrid_rag,0.2
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,long_context,0.25
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,dense_rag,0.19444444444444445
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,rolling_summary,0.18181818181818182
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,hybrid_rag,0.7777777777777778
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,long_context,0.2222222222222222
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,rolling_summary,0.2222222222222222
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,dense_rag,0.7777777777777778
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,graph_rag,0.7777777777777778
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,csm,0.3333333333333333
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,hippo_rag,0.7777777777777778
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,rolling_summary,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,dense_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,hippo_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,long_context,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,hybrid_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,graph_rag,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,csm,0.0
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,hybrid_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,long_context,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,rolling_summary,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,dense_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,graph_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,hippo_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,csm,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,hippo_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,rolling_summary,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,graph_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,long_context,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,csm,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,hybrid_rag,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,dense_rag,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,dense_rag,1975.7
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,hippo_rag,2200.15
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,graph_rag,2180.6
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,hybrid_rag,2103.75
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,rolling_summary,2428.5
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,csm,2836.25
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,long_context,1522.1
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,dense_rag,0.009772349999999999
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,csm,0.011775299999999999
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,hippo_rag,0.0104052
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,long_context,0.0072645
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,graph_rag,0.009974849999999999
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,hybrid_rag,0.0100071
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,rolling_summary,0.01086435
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,rolling_summary,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,csm,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,dense_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,hippo_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,hybrid_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,graph_rag,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,long_context,1.0
