aggregation_level,applicability_rules,applicable_rows,ci95_high,ci95_low,direction,display_name,failed_rows,formula,mean,metric_name,n,not_applicable_rows,pending_rows,reason_not_applicable,required_inputs,stddev,system,unit,version
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,0.47058823529411764,0.47058823529411764,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.47058823529411764,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,0.9714285714285714,0.9714285714285714,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,0.9714285714285714,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,rolling_summary,ratio,1.0
weighted_mean,report_missing,1,0.9714285714285714,0.9714285714285714,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",0.9714285714285714,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,rolling_summary,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.9553571428571426,0.9553571428571426,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.9553571428571426,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,rolling_summary,ece,1.0
macro_f1,report_missing,1,0.15384615384615383,0.15384615384615383,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.15384615384615383,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,rolling_summary,f1,1.0
component_mean,not_applicable_without_contradiction,1,0.0,0.0,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",0.0,contradiction_handling,1,0,0,,"[""contradiction_truth"", ""generated_answer""]",0,rolling_summary,score,1.0
success_rate,not_applicable_without_correction,1,0.0,0.0,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,0.0,correction_recovery,1,0,0,,"[""correction_truth"", ""post_correction_answers""]",0,rolling_summary,ratio,1.0
macro_precision_at_k,report_missing,1,0.18181818181818182,0.18181818181818182,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.18181818181818182,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,rolling_summary,precision,1.0
macro_recall_at_k,report_missing,1,0.2222222222222222,0.2222222222222222,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.2222222222222222,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,rolling_summary,recall,1.0
mean,report_missing,1,2428.5,2428.5,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2428.5,tokens_per_query,1,0,0,,"[""llm_calls""]",0,rolling_summary,tokens,1.0
p95,report_missing,1,66710.45,66710.45,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,66710.45,p95_latency,1,0,0,,"[""turn_timings""]",0,rolling_summary,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.01086435,0.01086435,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.01086435,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,rolling_summary,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,rolling_summary,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,rolling_summary,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,dense_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,dense_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,dense_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,dense_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,0.2777777777777778,0.2777777777777778,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.2777777777777778,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,0.9069767441860465,0.9069767441860465,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,0.9069767441860465,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,dense_rag,ratio,1.0
weighted_mean,report_missing,1,0.9069767441860465,0.9069767441860465,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",0.9069767441860465,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,dense_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.8358974358974358,0.8358974358974358,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.8358974358974358,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,dense_rag,ece,1.0
macro_f1,report_missing,1,0.3111111111111111,0.3111111111111111,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.3111111111111111,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,dense_rag,f1,1.0
component_mean,not_applicable_without_contradiction,1,0.0,0.0,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",0.0,contradiction_handling,1,0,0,,"[""contradiction_truth"", ""generated_answer""]",0,dense_rag,score,1.0
success_rate,not_applicable_without_correction,1,0.0,0.0,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,0.0,correction_recovery,1,0,0,,"[""correction_truth"", ""post_correction_answers""]",0,dense_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.19444444444444445,0.19444444444444445,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.19444444444444445,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,dense_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.7777777777777778,0.7777777777777778,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.7777777777777778,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,dense_rag,recall,1.0
mean,report_missing,1,1975.7,1975.7,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,1975.7,tokens_per_query,1,0,0,,"[""llm_calls""]",0,dense_rag,tokens,1.0
p95,report_missing,1,80845.05000000003,80845.05000000003,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,80845.05000000003,p95_latency,1,0,0,,"[""turn_timings""]",0,dense_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.009772349999999999,0.009772349999999999,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.009772349999999999,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,dense_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,dense_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,dense_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,hybrid_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,hybrid_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,hybrid_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,hybrid_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,0.24242424242424243,0.24242424242424243,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.24242424242424243,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,0.9534883720930233,0.9534883720930233,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,0.9534883720930233,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,hybrid_rag,ratio,1.0
weighted_mean,report_missing,1,0.9534883720930233,0.9534883720930233,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",0.9534883720930233,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,hybrid_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.8302380952380948,0.8302380952380948,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.8302380952380948,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,hybrid_rag,ece,1.0
macro_f1,report_missing,1,0.28571428571428575,0.28571428571428575,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.28571428571428575,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,hybrid_rag,f1,1.0
component_mean,not_applicable_without_contradiction,1,0.0,0.0,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",0.0,contradiction_handling,1,0,0,,"[""contradiction_truth"", ""generated_answer""]",0,hybrid_rag,score,1.0
success_rate,not_applicable_without_correction,1,0.0,0.0,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,0.0,correction_recovery,1,0,0,,"[""correction_truth"", ""post_correction_answers""]",0,hybrid_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.2,0.2,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.2,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,hybrid_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.7777777777777778,0.7777777777777778,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.7777777777777778,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,hybrid_rag,recall,1.0
mean,report_missing,1,2103.75,2103.75,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2103.75,tokens_per_query,1,0,0,,"[""llm_calls""]",0,hybrid_rag,tokens,1.0
p95,report_missing,1,127772.05,127772.05,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,127772.05,p95_latency,1,0,0,,"[""turn_timings""]",0,hybrid_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.0100071,0.0100071,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.0100071,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,hybrid_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,hybrid_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,hybrid_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,graph_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,graph_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,graph_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,graph_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,0.27586206896551724,0.27586206896551724,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.27586206896551724,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,graph_rag,ratio,1.0
weighted_mean,report_missing,1,1.0,1.0,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",1.0,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,graph_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.9378378378378376,0.9378378378378376,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.9378378378378376,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,graph_rag,ece,1.0
macro_f1,report_missing,1,0.21052631578947367,0.21052631578947367,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.21052631578947367,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,graph_rag,f1,1.0
component_mean,not_applicable_without_contradiction,1,0.0,0.0,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",0.0,contradiction_handling,1,0,0,,"[""contradiction_truth"", ""generated_answer""]",0,graph_rag,score,1.0
success_rate,not_applicable_without_correction,1,0.0,0.0,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,0.0,correction_recovery,1,0,0,,"[""correction_truth"", ""post_correction_answers""]",0,graph_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.2,0.2,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.2,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,graph_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.7777777777777778,0.7777777777777778,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.7777777777777778,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,graph_rag,recall,1.0
mean,report_missing,1,2180.6,2180.6,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2180.6,tokens_per_query,1,0,0,,"[""llm_calls""]",0,graph_rag,tokens,1.0
p95,report_missing,1,128492.1,128492.1,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,128492.1,p95_latency,1,0,0,,"[""turn_timings""]",0,graph_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.009974849999999999,0.009974849999999999,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.009974849999999999,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,graph_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,graph_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,graph_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,hippo_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,hippo_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,hippo_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,hippo_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,0.26666666666666666,0.26666666666666666,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.26666666666666666,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,hippo_rag,ratio,1.0
