metric_name,observation_count,rank,system,value
groundedness,19,3,csm,0.6096491228070174
groundedness,19,4,hybrid_rag,0.5942982456140351
groundedness,19,5,dense_rag,0.5767543859649124
groundedness,18,6,rolling_summary,0.5208333333333334
groundedness,14,7,long_context,0.4613095238095238
expected_calibration_error,16,1,csm,0.0744791666666667
expected_calibration_error,16,2,hippo_rag,0.07916666666666668
expected_calibration_error,17,3,hybrid_rag,0.0867156862745098
expected_calibration_error,19,4,graph_rag,0.09736842105263159
expected_calibration_error,16,5,rolling_summary,0.1159375
expected_calibration_error,18,6,dense_rag,0.1921666666666667
expected_calibration_error,7,7,long_context,0.2964285714285714
lineage_citation_f1,19,1,hybrid_rag,0.33144319131161243
lineage_citation_f1,20,2,hippo_rag,0.327568820631701
lineage_citation_f1,20,3,graph_rag,0.3156932370649409
lineage_citation_f1,19,4,dense_rag,0.2804509692954714
lineage_citation_f1,19,5,csm,0.15373281689071164
lineage_citation_f1,19,6,rolling_summary,0.09574029771398193
lineage_citation_f1,13,7,long_context,0.08791208791208792
correction_recovery,13,1,graph_rag,0.6538461538461539
correction_recovery,13,2,rolling_summary,0.6153846153846154
correction_recovery,13,3,hippo_rag,0.5384615384615384
correction_recovery,13,3,csm,0.5384615384615384
correction_recovery,13,5,dense_rag,0.5
correction_recovery,13,5,hybrid_rag,0.5
correction_recovery,13,7,long_context,0.11538461538461539
retrieval_precision,20,1,graph_rag,0.1674801587301587
retrieval_precision,20,2,hippo_rag,0.1650595238095238
retrieval_precision,20,3,hybrid_rag,0.14881715506715507
retrieval_precision,20,4,dense_rag,0.13059253246753247
retrieval_precision,20,5,rolling_summary,0.11666666666666667
retrieval_precision,20,6,csm,0.07489087301587302
retrieval_precision,20,7,long_context,0.025
retrieval_recall,20,1,hippo_rag,0.3868422318422319
retrieval_recall,20,2,graph_rag,0.3867412217412218
retrieval_recall,20,3,hybrid_rag,0.38229677729677725
retrieval_recall,20,4,dense_rag,0.2887181337181337
retrieval_recall,20,5,csm,0.1809126984126984
retrieval_recall,20,6,rolling_summary,0.1621404521404521
retrieval_recall,20,7,long_context,0.04
activation_precision,20,1,csm,0.07489087301587302
activation_recall,20,1,csm,0.1809126984126984
tokens_per_query,20,1,long_context,1609.2
tokens_per_query,20,2,dense_rag,2254.75
tokens_per_query,20,3,hippo_rag,2384.25
tokens_per_query,20,4,graph_rag,2429.7
tokens_per_query,20,5,hybrid_rag,2508.9
tokens_per_query,20,6,rolling_summary,2959.45
tokens_per_query,20,7,csm,3617.25
p95_latency,20,1,graph_rag,79848.0
p95_latency,20,2,csm,94748.0
p95_latency,20,3,long_context,96328.0
p95_latency,20,4,hippo_rag,145559.0
p95_latency,20,5,hybrid_rag,152365.0
p95_latency,20,6,dense_rag,153036.0
p95_latency,20,7,rolling_summary,153626.0
provider_generation_latency_ms,20,1,long_context,36289.1
provider_generation_latency_ms,20,2,csm,49945.75
provider_generation_latency_ms,20,3,rolling_summary,75484.55
provider_generation_latency_ms,20,4,hippo_rag,80370.85
provider_generation_latency_ms,20,5,graph_rag,88045.6
provider_generation_latency_ms,20,6,hybrid_rag,88349.25
provider_generation_latency_ms,20,7,dense_rag,88890.85
retrieval_activation_latency_ms,20,1,long_context,8.0
retrieval_activation_latency_ms,20,2,graph_rag,8.75
retrieval_activation_latency_ms,20,3,rolling_summary,10.3
retrieval_activation_latency_ms,20,4,hippo_rag,28.25
retrieval_activation_latency_ms,20,5,dense_rag,34.9
retrieval_activation_latency_ms,20,6,hybrid_rag,35.25
retrieval_activation_latency_ms,20,7,csm,40.45
processing_latency_ms,20,1,long_context,36289.1
processing_latency_ms,20,2,csm,49945.75
processing_latency_ms,20,3,rolling_summary,75484.55
processing_latency_ms,20,4,hippo_rag,80370.85
processing_latency_ms,20,5,graph_rag,88045.6
processing_latency_ms,20,6,hybrid_rag,88349.25
processing_latency_ms,20,7,dense_rag,88890.85
operational_wall_clock_latency_ms,20,1,long_context,36297.1
operational_wall_clock_latency_ms,20,2,csm,49986.2
operational_wall_clock_latency_ms,20,3,rolling_summary,75494.85
operational_wall_clock_latency_ms,20,4,hippo_rag,80399.1
operational_wall_clock_latency_ms,20,5,graph_rag,88054.35
operational_wall_clock_latency_ms,20,6,hybrid_rag,88384.5
operational_wall_clock_latency_ms,20,7,dense_rag,88925.75
online_query_cost,20,1,long_context,0.00039692249999999997
online_query_cost,20,2,dense_rag,0.0005535375
online_query_cost,20,3,hybrid_rag,0.00057204
online_query_cost,20,4,hippo_rag,0.000580725
online_query_cost,20,5,graph_rag,0.000582075
online_query_cost,20,6,rolling_summary,0.0006706500000000001
online_query_cost,20,7,csm,0.0007396875000000001
offline_csm_update_cost,20,1,csm,0.0
total_cost,20,1,long_context,0.00793845
total_cost,20,2,dense_rag,0.011070749999999999
total_cost,20,3,hybrid_rag,0.011440800000000001
total_cost,20,4,hippo_rag,0.011614500000000002
total_cost,20,5,graph_rag,0.0116415
total_cost,20,6,rolling_summary,0.013413000000000001
total_cost,20,7,csm,0.014793750000000001
memory_update_accuracy,7,1,hippo_rag,0.5
memory_update_accuracy,7,2,hybrid_rag,0.35714285714285715
memory_update_accuracy,7,2,graph_rag,0.35714285714285715
memory_update_accuracy,7,4,dense_rag,0.21428571428571427
memory_update_accuracy,7,4,csm,0.21428571428571427
memory_update_accuracy,7,6,long_context,0.14285714285714285
memory_update_accuracy,7,7,rolling_summary,0.0
state_recovery_time,11,1,csm,1.0
