answer_confidence,has_output,insufficient_evidence,question,repetition,source_cutoff,status,system,turn_id,turn_number
0.95,True,False,What is the latest resolved allergy state?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,78683000-1a30-4250-baa9-3bde447e5c97,9
0.95,True,False,What should the allergy-state status be after the duplicate hospital record is added?,1,2026-02-11T23:59:59+05:30,completed,csm_v4,01b9d7b5-c505-45f5-b358-a929a724a5dd,5
0.9,True,False,What changed on 8 April compared with baseline?,1,2026-04-08T23:59:59+05:30,completed,csm_v4,5453562c-d090-42b7-9cf2-bd0ca1570ab6,3
0.95,True,False,Summarize the allergy reconciliation with citations and calibrated confidence.,1,2026-02-20T23:59:59+05:30,completed,csm_v4,3a534a4a-2b9d-43db-9aa7-74f64a9fbce1,20
0.95,True,False,"What was the effective date of the historical reaction, and when was it recorded in Sustha?",1,2026-02-20T23:59:59+05:30,completed,csm_v4,4aa14aa4-390c-497b-a7a5-3429a1982aef,13
,True,False,"What does the external allergist letter support, and what does it not establish?",1,2026-02-18T23:59:59+05:30,completed,csm_v4,ebb0d57f-a812-48b9-ad4e-4a59a7980937,6
0.95,True,False,Quote the exact retraction sentence from the correction notice.,1,2026-02-20T23:59:59+05:30,completed,csm_v4,802c59fb-98ee-447a-b7dc-12305b70192e,10
0.9,True,False,Which retrieved documents are redundant for the NKDA claim?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,cfa8d34f-cc98-4593-8f1c-263762252b7e,19
0.9,True,True,"Before 18 February, could the system use the allergist letter?",1,2026-02-17T23:59:59+05:30,completed,csm_v4,5bc38ae9-6487-4418-8033-ebfe2bf25d43,15
0.93,True,False,Does the evidence justify describing the reaction as severe anaphylaxis?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,1419a23a-86a3-4d04-abd0-50568d63200d,17
0.95,True,False,What cardiovascular condition and medicines are active at baseline?,1,2026-04-01T23:59:59+05:30,completed,csm_v4,63fdec48-7162-43a2-b1bb-ade63a677748,1
,True,True,What changed in the allergy state from 11 February to 20 February?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,80ce8ae6-3ad5-4419-80d3-22fd7b06cc3c,18
0.95,True,False,What was the baseline resting heart rate?,1,2026-04-01T23:59:59+05:30,completed,csm_v4,d01b7c03-4492-43c5-9d31-ccda98c5c8ad,2
,True,False,What clinician-directed treatment change was recorded on 9 April?,1,2026-04-09T23:59:59+05:30,completed,csm_v4,8b8b79ac-e16a-4a52-994c-45673d1254b2,4
,True,False,"Before follow-up data existed, what should the treatment-response state be?",1,2026-04-09T23:59:59+05:30,completed,csm_v4,daac1b3f-d7b8-42b2-9acd-66bc45f8b9c3,5
0.68,True,False,Which note arrived on 12 April but describes an event on 2 April?,1,2026-04-12T23:59:59+05:30,completed,csm_v4,38f86189-5b95-4ddd-bf94-67929efb2ddc,6
,True,False,What rare detail is available only from raw evidence?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,8ebfb8aa-4cb0-4071-b2cc-cb05dca45dc2,7
0.92,True,False,Should the retracted syncope statement influence the current follow-up priority?,1,2026-04-15T23:59:59+05:30,completed,csm_v4,bd12b9a1-418c-4056-a481-4b3445694bcc,8
0.95,True,False,"Place these events in valid-time order: delayed breathlessness note, worsening vital signs, treatment adjustment, follow-up improvement.",1,2026-04-22T23:59:59+05:30,completed,csm_v4,0cd6cac8-c0f5-4cf1-9a19-1070da17ae5d,19
0.95,True,False,What does the 22 April follow-up show?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,ce08147c-7ac7-4c21-a2d4-a4d533d1f4ef,9
0.7,True,False,How should the treatment-response state change after 22 April?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,6d748b88-4140-4cad-83c4-d7565b6599c9,10
,True,False,Which states depend on the rate-control state?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,5153a783-c784-40c1-9032-318f05cb74ce,11
,True,False,Summarize the cardiovascular course with citations and calibrated confidence.,1,2026-04-22T23:59:59+05:30,completed,csm_v4,cda52829-ebac-4d8f-96de-ec1d9a1e4247,20
,True,True,Should the chat instruction to stop apixaban update the active medication state?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,f26dd57f-234e-4de2-a7b8-c21bdb58c9f9,12
,True,False,Quote the exact rare functional detail from the baseline note.,1,2026-04-22T23:59:59+05:30,completed,csm_v4,cc0df27c-9bd3-48fa-bbde-ea3d6585fffa,13
,True,False,"Classify the follow-up priority after 22 April: urgent, routine clinician follow-up, or no follow-up.",1,2026-04-22T23:59:59+05:30,completed,csm_v4,ef4fb118-d8e8-46dd-ae3d-42011890ae66,14
,True,True,"Before 22 April, could the system claim that treatment had improved symptoms?",1,2026-04-21T23:59:59+05:30,completed,csm_v4,93684463-5063-4fc7-8cb1-aaa640d80549,15
0.95,True,False,What evidence should support an answer about improved treatment response?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,ed257204-8290-48ff-97ab-138c1a10b3b0,16
0.95,True,False,Which source must not be used to claim true syncope?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,5acc9ba0-60b4-4d87-8a46-cfd3d037274a,17
,True,True,Is there enough evidence to say the patient is completely cured of atrial fibrillation?,1,2026-04-22T23:59:59+05:30,completed,csm_v4,427e042d-98ad-4e41-bb93-980eb81b6335,18
