corrected_p_value,effect_size,metric_name,raw_p_value,sample_count,system_a,system_b
,,fabricated_citation_rate,,1,hippo_rag,hybrid_rag
,,fabricated_citation_rate,,1,hippo_rag,long_context
,,fabricated_citation_rate,,1,hippo_rag,rolling_summary
,,fabricated_citation_rate,,1,hybrid_rag,long_context
,,fabricated_citation_rate,,1,hybrid_rag,rolling_summary
,,fabricated_citation_rate,,1,long_context,rolling_summary
,,faithfulness,,1,csm,dense_rag
,,faithfulness,,1,csm,graph_rag
,,faithfulness,,1,csm,hippo_rag
,,faithfulness,,1,csm,hybrid_rag
,,faithfulness,,1,csm,long_context
,,faithfulness,,1,csm,rolling_summary
,,faithfulness,,1,dense_rag,graph_rag
,,faithfulness,,1,dense_rag,hippo_rag
,,faithfulness,,1,dense_rag,hybrid_rag
,,faithfulness,,1,dense_rag,long_context
,,faithfulness,,1,dense_rag,rolling_summary
,,faithfulness,,1,graph_rag,hippo_rag
,,faithfulness,,1,graph_rag,hybrid_rag
,,faithfulness,,1,graph_rag,long_context
,,faithfulness,,1,graph_rag,rolling_summary
,,faithfulness,,1,hippo_rag,hybrid_rag
,,faithfulness,,1,hippo_rag,long_context
,,faithfulness,,1,hippo_rag,rolling_summary
,,faithfulness,,1,hybrid_rag,long_context
,,faithfulness,,1,hybrid_rag,rolling_summary
,,faithfulness,,1,long_context,rolling_summary
,,groundedness,,1,csm,dense_rag
,,groundedness,,1,csm,graph_rag
,,groundedness,,1,csm,hippo_rag
,,groundedness,,1,csm,hybrid_rag
,,groundedness,,1,csm,long_context
,,groundedness,,1,csm,rolling_summary
,,groundedness,,1,dense_rag,graph_rag
,,groundedness,,1,dense_rag,hippo_rag
,,groundedness,,1,dense_rag,hybrid_rag
,,groundedness,,1,dense_rag,long_context
,,groundedness,,1,dense_rag,rolling_summary
,,groundedness,,1,graph_rag,hippo_rag
,,groundedness,,1,graph_rag,hybrid_rag
,,groundedness,,1,graph_rag,long_context
,,groundedness,,1,graph_rag,rolling_summary
,,groundedness,,1,hippo_rag,hybrid_rag
,,groundedness,,1,hippo_rag,long_context
,,groundedness,,1,hippo_rag,rolling_summary
,,groundedness,,1,hybrid_rag,long_context
,,groundedness,,1,hybrid_rag,rolling_summary
,,groundedness,,1,long_context,rolling_summary
,,hallucination_rate,,1,csm,dense_rag
,,hallucination_rate,,1,csm,graph_rag
,,hallucination_rate,,1,csm,hippo_rag
,,hallucination_rate,,1,csm,hybrid_rag
,,hallucination_rate,,1,csm,long_context
,,hallucination_rate,,1,csm,rolling_summary
,,hallucination_rate,,1,dense_rag,graph_rag
,,hallucination_rate,,1,dense_rag,hippo_rag
,,hallucination_rate,,1,dense_rag,hybrid_rag
,,hallucination_rate,,1,dense_rag,long_context
,,hallucination_rate,,1,dense_rag,rolling_summary
,,hallucination_rate,,1,graph_rag,hippo_rag
,,hallucination_rate,,1,graph_rag,hybrid_rag
,,hallucination_rate,,1,graph_rag,long_context
,,hallucination_rate,,1,graph_rag,rolling_summary
,,hallucination_rate,,1,hippo_rag,hybrid_rag
,,hallucination_rate,,1,hippo_rag,long_context
,,hallucination_rate,,1,hippo_rag,rolling_summary
,,hallucination_rate,,1,hybrid_rag,long_context
,,hallucination_rate,,1,hybrid_rag,rolling_summary
,,hallucination_rate,,1,long_context,rolling_summary
,,lineage_citation_f1,,1,csm,dense_rag
,,lineage_citation_f1,,1,csm,graph_rag
,,lineage_citation_f1,,1,csm,hippo_rag
,,lineage_citation_f1,,1,csm,hybrid_rag
,,lineage_citation_f1,,1,csm,long_context
,,lineage_citation_f1,,1,csm,rolling_summary
,,lineage_citation_f1,,1,dense_rag,graph_rag
,,lineage_citation_f1,,1,dense_rag,hippo_rag
,,lineage_citation_f1,,1,dense_rag,hybrid_rag
,,lineage_citation_f1,,1,dense_rag,long_context
,,lineage_citation_f1,,1,dense_rag,rolling_summary
,,lineage_citation_f1,,1,graph_rag,hippo_rag
,,lineage_citation_f1,,1,graph_rag,hybrid_rag
,,lineage_citation_f1,,1,graph_rag,long_context
,,lineage_citation_f1,,1,graph_rag,rolling_summary
,,lineage_citation_f1,,1,hippo_rag,hybrid_rag
,,lineage_citation_f1,,1,hippo_rag,long_context
,,lineage_citation_f1,,1,hippo_rag,rolling_summary
,,lineage_citation_f1,,1,hybrid_rag,long_context
,,lineage_citation_f1,,1,hybrid_rag,rolling_summary
,,lineage_citation_f1,,1,long_context,rolling_summary
,,p95_latency,,1,csm,dense_rag
,,p95_latency,,1,csm,graph_rag
,,p95_latency,,1,csm,hippo_rag
,,p95_latency,,1,csm,hybrid_rag
,,p95_latency,,1,csm,long_context
,,p95_latency,,1,csm,rolling_summary
,,p95_latency,,1,dense_rag,graph_rag
,,p95_latency,,1,dense_rag,hippo_rag
,,p95_latency,,1,dense_rag,hybrid_rag
,,p95_latency,,1,dense_rag,long_context
,,p95_latency,,1,dense_rag,rolling_summary
,,p95_latency,,1,graph_rag,hippo_rag
,,p95_latency,,1,graph_rag,hybrid_rag
,,p95_latency,,1,graph_rag,long_context
,,p95_latency,,1,graph_rag,rolling_summary
,,p95_latency,,1,hippo_rag,hybrid_rag
,,p95_latency,,1,hippo_rag,long_context
,,p95_latency,,1,hippo_rag,rolling_summary
,,p95_latency,,1,hybrid_rag,long_context
,,p95_latency,,1,hybrid_rag,rolling_summary
,,p95_latency,,1,long_context,rolling_summary
,,retrieval_precision,,1,csm,dense_rag
,,retrieval_precision,,1,csm,graph_rag
,,retrieval_precision,,1,csm,hippo_rag
,,retrieval_precision,,1,csm,hybrid_rag
,,retrieval_precision,,1,csm,long_context
,,retrieval_precision,,1,csm,rolling_summary
,,retrieval_precision,,1,dense_rag,graph_rag
,,retrieval_precision,,1,dense_rag,hippo_rag
,,retrieval_precision,,1,dense_rag,hybrid_rag
,,retrieval_precision,,1,dense_rag,long_context
,,retrieval_precision,,1,dense_rag,rolling_summary
,,retrieval_precision,,1,graph_rag,hippo_rag
,,retrieval_precision,,1,graph_rag,hybrid_rag
,,retrieval_precision,,1,graph_rag,long_context
,,retrieval_precision,,1,graph_rag,rolling_summary
,,retrieval_precision,,1,hippo_rag,hybrid_rag
,,retrieval_precision,,1,hippo_rag,long_context
,,retrieval_precision,,1,hippo_rag,rolling_summary
,,retrieval_precision,,1,hybrid_rag,long_context
,,retrieval_precision,,1,hybrid_rag,rolling_summary
,,retrieval_precision,,1,long_context,rolling_summary
,,retrieval_recall,,1,csm,dense_rag
,,retrieval_recall,,1,csm,graph_rag
,,retrieval_recall,,1,csm,hippo_rag
,,retrieval_recall,,1,csm,hybrid_rag
,,retrieval_recall,,1,csm,long_context
,,retrieval_recall,,1,csm,rolling_summary
,,retrieval_recall,,1,dense_rag,graph_rag
,,retrieval_recall,,1,dense_rag,hippo_rag
,,retrieval_recall,,1,dense_rag,hybrid_rag
,,retrieval_recall,,1,dense_rag,long_context
,,retrieval_recall,,1,dense_rag,rolling_summary
,,retrieval_recall,,1,graph_rag,hippo_rag
,,retrieval_recall,,1,graph_rag,hybrid_rag
,,retrieval_recall,,1,graph_rag,long_context
,,retrieval_recall,,1,graph_rag,rolling_summary
,,retrieval_recall,,1,hippo_rag,hybrid_rag
,,retrieval_recall,,1,hippo_rag,long_context
,,retrieval_recall,,1,hippo_rag,rolling_summary
,,retrieval_recall,,1,hybrid_rag,long_context
,,retrieval_recall,,1,hybrid_rag,rolling_summary
,,retrieval_recall,,1,long_context,rolling_summary
,,state_accuracy,,1,csm,dense_rag
,,state_accuracy,,1,csm,graph_rag
,,state_accuracy,,1,csm,hippo_rag
,,state_accuracy,,1,csm,hybrid_rag
,,state_accuracy,,1,csm,long_context
,,state_accuracy,,1,csm,rolling_summary
,,state_accuracy,,1,dense_rag,graph_rag
,,state_accuracy,,1,dense_rag,hippo_rag
,,state_accuracy,,1,dense_rag,hybrid_rag
,,state_accuracy,,1,dense_rag,long_context
,,state_accuracy,,1,dense_rag,rolling_summary
,,state_accuracy,,1,graph_rag,hippo_rag
,,state_accuracy,,1,graph_rag,hybrid_rag
,,state_accuracy,,1,graph_rag,long_context
,,state_accuracy,,1,graph_rag,rolling_summary
,,state_accuracy,,1,hippo_rag,hybrid_rag
,,state_accuracy,,1,hippo_rag,long_context
,,state_accuracy,,1,hippo_rag,rolling_summary
,,state_accuracy,,1,hybrid_rag,long_context
,,state_accuracy,,1,hybrid_rag,rolling_summary
,,state_accuracy,,1,long_context,rolling_summary
,,tokens_per_query,,1,csm,dense_rag
,,tokens_per_query,,1,csm,graph_rag
,,tokens_per_query,,1,csm,hippo_rag
,,tokens_per_query,,1,csm,hybrid_rag
,,tokens_per_query,,1,csm,long_context
,,tokens_per_query,,1,csm,rolling_summary
,,tokens_per_query,,1,dense_rag,graph_rag
,,tokens_per_query,,1,dense_rag,hippo_rag
,,tokens_per_query,,1,dense_rag,hybrid_rag
,,tokens_per_query,,1,dense_rag,long_context
,,tokens_per_query,,1,dense_rag,rolling_summary
,,tokens_per_query,,1,graph_rag,hippo_rag
,,tokens_per_query,,1,graph_rag,hybrid_rag
,,tokens_per_query,,1,graph_rag,long_context
,,tokens_per_query,,1,graph_rag,rolling_summary
,,tokens_per_query,,1,hippo_rag,hybrid_rag
,,tokens_per_query,,1,hippo_rag,long_context
,,tokens_per_query,,1,hippo_rag,rolling_summary
,,tokens_per_query,,1,hybrid_rag,long_context
,,tokens_per_query,,1,hybrid_rag,rolling_summary
,,tokens_per_query,,1,long_context,rolling_summary
,,total_cost,,1,csm,dense_rag
,,total_cost,,1,csm,graph_rag
,,total_cost,,1,csm,hippo_rag
,,total_cost,,1,csm,hybrid_rag
,,total_cost,,1,csm,long_context
,,total_cost,,1,csm,rolling_summary
,,total_cost,,1,dense_rag,graph_rag
,,total_cost,,1,dense_rag,hippo_rag
,,total_cost,,1,dense_rag,hybrid_rag
,,total_cost,,1,dense_rag,long_context
,,total_cost,,1,dense_rag,rolling_summary
,,total_cost,,1,graph_rag,hippo_rag
,,total_cost,,1,graph_rag,hybrid_rag
,,total_cost,,1,graph_rag,long_context
,,total_cost,,1,graph_rag,rolling_summary
,,total_cost,,1,hippo_rag,hybrid_rag
,,total_cost,,1,hippo_rag,long_context
,,total_cost,,1,hippo_rag,rolling_summary
,,total_cost,,1,hybrid_rag,long_context
,,total_cost,,1,hybrid_rag,rolling_summary
,,total_cost,,1,long_context,rolling_summary
,,unsupported_claim_rate,,1,csm,dense_rag
,,unsupported_claim_rate,,1,csm,graph_rag
,,unsupported_claim_rate,,1,csm,hippo_rag
,,unsupported_claim_rate,,1,csm,hybrid_rag
,,unsupported_claim_rate,,1,csm,long_context
,,unsupported_claim_rate,,1,csm,rolling_summary
,,unsupported_claim_rate,,1,dense_rag,graph_rag
,,unsupported_claim_rate,,1,dense_rag,hippo_rag
,,unsupported_claim_rate,,1,dense_rag,hybrid_rag
,,unsupported_claim_rate,,1,dense_rag,long_context
,,unsupported_claim_rate,,1,dense_rag,rolling_summary
,,unsupported_claim_rate,,1,graph_rag,hippo_rag
,,unsupported_claim_rate,,1,graph_rag,hybrid_rag
,,unsupported_claim_rate,,1,graph_rag,long_context
,,unsupported_claim_rate,,1,graph_rag,rolling_summary
,,unsupported_claim_rate,,1,hippo_rag,hybrid_rag
,,unsupported_claim_rate,,1,hippo_rag,long_context
,,unsupported_claim_rate,,1,hippo_rag,rolling_summary
,,unsupported_claim_rate,,1,hybrid_rag,long_context
,,unsupported_claim_rate,,1,hybrid_rag,rolling_summary
,,unsupported_claim_rate,,1,long_context,rolling_summary
