aggregation_level,applicability_rules,applicable_rows,ci95_high,ci95_low,direction,display_name,failed_rows,formula,mean,metric_name,n,not_applicable_rows,pending_rows,reason_not_applicable,required_inputs,stddev,system,unit,version
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,rolling_summary,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,0.5,0.5,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.5,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,rolling_summary,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,rolling_summary,ratio,1.0
weighted_mean,report_missing,1,1.0,1.0,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",1.0,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,rolling_summary,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.9426829268292682,0.9426829268292682,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.9426829268292682,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,rolling_summary,ece,1.0
macro_f1,report_missing,1,0.06666666666666667,0.06666666666666667,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.06666666666666667,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,rolling_summary,f1,1.0
component_mean,not_applicable_without_contradiction,0,,,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",,contradiction_handling,0,1,0,no_ground_truth_contradictions,"[""contradiction_truth"", ""generated_answer""]",,rolling_summary,score,1.0
success_rate,not_applicable_without_correction,0,,,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,,correction_recovery,0,1,0,no_correction_cases,"[""correction_truth"", ""post_correction_answers""]",,rolling_summary,ratio,1.0
macro_precision_at_k,report_missing,1,0.1111111111111111,0.1111111111111111,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.1111111111111111,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,rolling_summary,precision,1.0
macro_recall_at_k,report_missing,1,0.07142857142857142,0.07142857142857142,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.07142857142857142,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,rolling_summary,recall,1.0
mean,report_missing,1,2665.85,2665.85,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2665.85,tokens_per_query,1,0,0,,"[""llm_calls""]",0,rolling_summary,tokens,1.0
p95,report_missing,1,132759.50000000006,132759.50000000006,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,132759.50000000006,p95_latency,1,0,0,,"[""turn_timings""]",0,rolling_summary,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.012083999999999998,0.012083999999999998,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.012083999999999998,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,rolling_summary,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,rolling_summary,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,rolling_summary,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,dense_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,dense_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,dense_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,dense_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,0.20512820512820512,0.20512820512820512,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.20512820512820512,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,dense_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,dense_rag,ratio,1.0
weighted_mean,report_missing,1,1.0,1.0,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",1.0,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,dense_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.7911111111111111,0.7911111111111111,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.7911111111111111,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,dense_rag,ece,1.0
macro_f1,report_missing,1,0.3018867924528302,0.3018867924528302,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.3018867924528302,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,dense_rag,f1,1.0
component_mean,not_applicable_without_contradiction,0,,,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",,contradiction_handling,0,1,0,no_ground_truth_contradictions,"[""contradiction_truth"", ""generated_answer""]",,dense_rag,score,1.0
success_rate,not_applicable_without_correction,0,,,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,,correction_recovery,0,1,0,no_correction_cases,"[""correction_truth"", ""post_correction_answers""]",,dense_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.2619047619047619,0.2619047619047619,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.2619047619047619,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,dense_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.7857142857142857,0.7857142857142857,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.7857142857142857,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,dense_rag,recall,1.0
mean,report_missing,1,1946.9,1946.9,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,1946.9,tokens_per_query,1,0,0,,"[""llm_calls""]",0,dense_rag,tokens,1.0
p95,report_missing,1,24681.5,24681.5,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,24681.5,p95_latency,1,0,0,,"[""turn_timings""]",0,dense_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.009540599999999996,0.009540599999999996,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.009540599999999996,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,dense_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,dense_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,dense_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,hybrid_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,hybrid_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,hybrid_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,hybrid_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,0.21621621621621623,0.21621621621621623,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.21621621621621623,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,hybrid_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,hybrid_rag,ratio,1.0
weighted_mean,report_missing,1,1.0,1.0,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",1.0,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,hybrid_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.7405555555555554,0.7405555555555554,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.7405555555555554,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,hybrid_rag,ece,1.0
macro_f1,report_missing,1,0.2745098039215686,0.2745098039215686,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.2745098039215686,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,hybrid_rag,f1,1.0
component_mean,not_applicable_without_contradiction,0,,,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",,contradiction_handling,0,1,0,no_ground_truth_contradictions,"[""contradiction_truth"", ""generated_answer""]",,hybrid_rag,score,1.0
success_rate,not_applicable_without_correction,0,,,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,,correction_recovery,0,1,0,no_correction_cases,"[""correction_truth"", ""post_correction_answers""]",,hybrid_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.2857142857142857,0.2857142857142857,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.2857142857142857,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,hybrid_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.8571428571428571,0.8571428571428571,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.8571428571428571,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,hybrid_rag,recall,1.0
mean,report_missing,1,2038.9,2038.9,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2038.9,tokens_per_query,1,0,0,,"[""llm_calls""]",0,hybrid_rag,tokens,1.0
p95,report_missing,1,33109.45000000007,33109.45000000007,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,33109.45000000007,p95_latency,1,0,0,,"[""turn_timings""]",0,hybrid_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.010011899999999999,0.010011899999999999,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.010011899999999999,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,hybrid_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,hybrid_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,hybrid_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,graph_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,graph_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,graph_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,graph_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,0.23529411764705882,0.23529411764705882,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.23529411764705882,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,graph_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,graph_rag,ratio,1.0
weighted_mean,report_missing,1,1.0,1.0,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",1.0,groundedness,1,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",0,graph_rag,score,1.0
bin_weighted_error,not_applicable_when_missing_confidence,1,0.7763888888888886,0.7763888888888886,lower_is_better,Expected Calibration Error,0,Confidence calibration error using real answer or claim confidence values.,0.7763888888888886,expected_calibration_error,1,0,0,,"[""confidence"", ""claim_correctness""]",0,graph_rag,ece,1.0
macro_f1,report_missing,1,0.20833333333333334,0.20833333333333334,higher_is_better,Lineage/Citation F1,0,"F1 over canonical source, document, page, and section references.",0.20833333333333334,lineage_citation_f1,1,0,0,,"[""citations"", ""expected_evidence""]",0,graph_rag,f1,1.0
component_mean,not_applicable_without_contradiction,0,,,higher_is_better,Contradiction Handling,0,"Detection, source identification, state selection, and conflict communication.",,contradiction_handling,0,1,0,no_ground_truth_contradictions,"[""contradiction_truth"", ""generated_answer""]",,graph_rag,score,1.0
success_rate,not_applicable_without_correction,0,,,higher_is_better,Correction Recovery,0,Correct use of corrected facts after explicit correction events.,,correction_recovery,0,1,0,no_correction_cases,"[""correction_truth"", ""post_correction_answers""]",,graph_rag,ratio,1.0
macro_precision_at_k,report_missing,1,0.24390243902439024,0.24390243902439024,higher_is_better,Retrieval Precision,0,Relevant retrieved context items divided by retrieved items at configured K.,0.24390243902439024,retrieval_precision,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,graph_rag,precision,1.0
macro_recall_at_k,report_missing,1,0.7142857142857143,0.7142857142857143,higher_is_better,Retrieval Recall,0,Relevant retrieved context items divided by all expected relevant items.,0.7142857142857143,retrieval_recall,1,0,0,,"[""retrieval_items"", ""expected_relevant_sources""]",0,graph_rag,recall,1.0
mean,report_missing,1,2055.05,2055.05,lower_is_better,Tokens per Query,0,Online answer input plus output tokens per completed query.,2055.05,tokens_per_query,1,0,0,,"[""llm_calls""]",0,graph_rag,tokens,1.0
p95,report_missing,1,135010.5000000001,135010.5000000001,lower_is_better,p95 Latency,0,95th percentile end-to-end backend query latency.,135010.5000000001,p95_latency,1,0,0,,"[""turn_timings""]",0,graph_rag,milliseconds,1.0
sum,unavailable_when_pricing_missing,1,0.00987,0.00987,lower_is_better,Total Cost,0,Versioned provider-token cost for operational system calls.,0.00987,total_cost,1,0,0,,"[""token_usage"", ""model_pricing""]",0,graph_rag,usd,1.0
macro_f1,report_missing,0,,,higher_is_better,Memory Update Accuracy,0,Macro F1 over expected state transition labels after updates.,,memory_update_accuracy,0,1,0,missing_generated_state_transitions,"[""state_transitions"", ""generated_claims""]",,graph_rag,f1,1.0
median_with_censoring,not_applicable_without_recovery_event,0,,,lower_is_better,State Recovery Time,0,Median turns to first fully correct answer after recovery-triggering events.,,state_recovery_time,0,1,0,no_recovery_event,"[""recovery_events"", ""answers""]",,graph_rag,turns,1.0
weighted_mean,report_missing,1,0.0,0.0,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,0.0,state_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_state""]",0,hippo_rag,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,1,0,missing_temporal_ground_truth,"[""generated_claims"", ""timeline_events""]",,hippo_rag,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,1,0,missing_predicted_decision_labels,"[""predicted_labels"", ""ground_truth_labels""]",,hippo_rag,f1,1.0
macro_f1,report_missing,1,0.0,0.0,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,0.0,answer_accuracy,1,0,0,,"[""generated_claims"", ""ground_truth_claims""]",0,hippo_rag,f1,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,1.0,hallucination_rate,1,0,0,,"[""claim_support_classifications""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,0.0,0.0,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,0.0,evidence_support_rate,1,0,0,,"[""claim_support_classifications"", ""citation_audit""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,1.0,unsupported_claim_rate,1,0,0,,"[""claim_support_classifications""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,0.22857142857142856,0.22857142857142856,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,0.22857142857142856,fabricated_citation_rate,1,0,0,,"[""citations"", ""retrieval_context""]",0,hippo_rag,ratio,1.0
weighted_ratio,report_missing,1,1.0,1.0,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,1.0,faithfulness,1,0,0,,"[""generated_claims"", ""retrieval_context""]",0,hippo_rag,ratio,1.0
