metric,patient,question_ids,required_stored_data,direction,calculation
answer_accuracy,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claim-level precision/recall/F1 against required and acceptable claims.
answer_accuracy,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claim-level precision/recall/F1 against required and acceptable claims.
hallucination_rate,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported plus contradicted generated claims divided by generated claims.
hallucination_rate,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported plus contradicted generated claims divided by generated claims.
hallucination_rate,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported plus contradicted generated claims divided by generated claims.
evidence_support_rate,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Supported generated claims divided by generated claims.
evidence_support_rate,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Supported generated claims divided by generated claims.
evidence_support_rate,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Supported generated claims divided by generated claims.
unsupported_claim_rate,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported claims divided by generated claims.
unsupported_claim_rate,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported claims divided by generated claims.
unsupported_claim_rate,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Unsupported claims divided by generated claims.
fabricated_citation_rate,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Invalid or unavailable citations divided by generated citations.
fabricated_citation_rate,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Invalid or unavailable citations divided by generated citations.
fabricated_citation_rate,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Invalid or unavailable citations divided by generated citations.
faithfulness,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims entailed by supplied retrieval/activation context.
faithfulness,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims entailed by supplied retrieval/activation context.
faithfulness,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims entailed by supplied retrieval/activation context.
groundedness,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims linked to valid patient evidence and lineage.
groundedness,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims linked to valid patient evidence and lineage.
groundedness,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claims linked to valid patient evidence and lineage.
expected_calibration_error,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Difference between model confidence and empirical correctness.
expected_calibration_error,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Difference between model confidence and empirical correctness.
expected_calibration_error,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Difference between model confidence and empirical correctness.
lineage_citation_f1,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 between expected and generated evidence/source identifiers.
lineage_citation_f1,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 between expected and generated evidence/source identifiers.
lineage_citation_f1,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 between expected and generated evidence/source identifiers.
contradiction_handling,SYN-CSM-001,,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct detection and lifecycle treatment of conflicting evidence.
contradiction_handling,SYN-CSM-002,P2-Q03;P2-Q04;P2-Q05;P2-Q07;P2-Q18;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct detection and lifecycle treatment of conflicting evidence.
contradiction_handling,SYN-CSM-003,,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct detection and lifecycle treatment of conflicting evidence.
correction_recovery,SYN-CSM-001,P1-Q06;P1-Q08;P1-Q17;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct answers and states after correction/retraction events.
correction_recovery,SYN-CSM-002,P2-Q07;P2-Q16;P2-Q18;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct answers and states after correction/retraction events.
correction_recovery,SYN-CSM-003,P3-Q08;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Correct answers and states after correction/retraction events.
retrieval_precision,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by retrieved IDs.
retrieval_precision,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by retrieved IDs.
retrieval_precision,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by retrieved IDs.
retrieval_recall,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by expected relevant IDs.
retrieval_recall,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by expected relevant IDs.
retrieval_recall,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Relevant retrieved IDs divided by expected relevant IDs.
tokens_per_query,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Average input plus output tokens per question.
tokens_per_query,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Average input plus output tokens per question.
tokens_per_query,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Average input plus output tokens per question.
p95_latency,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,95th percentile end-to-end turn latency.
p95_latency,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,95th percentile end-to-end turn latency.
p95_latency,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,95th percentile end-to-end turn latency.
total_cost,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Generation plus retrieval/indexing/update costs.
total_cost,SYN-CSM-002,P2-Q01;P2-Q02;P2-Q03;P2-Q04;P2-Q05;P2-Q06;P2-Q07;P2-Q08;P2-Q09;P2-Q10;P2-Q11;P2-Q12;P2-Q13;P2-Q14;P2-Q15;P2-Q16;P2-Q17;P2-Q18;P2-Q19;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Generation plus retrieval/indexing/update costs.
total_cost,SYN-CSM-003,P3-Q01;P3-Q02;P3-Q03;P3-Q04;P3-Q05;P3-Q06;P3-Q07;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q13;P3-Q14;P3-Q15;P3-Q16;P3-Q17;P3-Q18;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Generation plus retrieval/indexing/update costs.
memory_update_accuracy,SYN-CSM-001,P1-Q03;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q14;P1-Q15;P1-Q17;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 over expected state transitions.
memory_update_accuracy,SYN-CSM-002,P2-Q01;P2-Q03;P2-Q05;P2-Q07;P2-Q08;P2-Q09;P2-Q14;P2-Q16;P2-Q18;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 over expected state transitions.
memory_update_accuracy,SYN-CSM-003,P3-Q01;P3-Q03;P3-Q04;P3-Q05;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q14;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,F1 over expected state transitions.
state_recovery_time,SYN-CSM-001,P1-Q06;P1-Q17,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Turns or elapsed updates required to restore correct state after correction.
state_recovery_time,SYN-CSM-002,P2-Q07;P2-Q18,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Turns or elapsed updates required to restore correct state after correction.
state_recovery_time,SYN-CSM-003,P3-Q10,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Lower,Turns or elapsed updates required to restore correct state after correction.
