question_id,patient_code,category,source_cutoff,exact_quote,rare_detail,insufficient_evidence,applicable_metrics
P1-Q11,SYN-CSM-001,Exact quotation,2026-03-12T23:59:59+05:30,True,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q12,SYN-CSM-001,Evidence-supported answer,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q13,SYN-CSM-001,Temporal ordering,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q14,SYN-CSM-001,Decision classification,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;decision_f1;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q15,SYN-CSM-001,Insufficient evidence,2026-03-20T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q16,SYN-CSM-001,Citation verification,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q17,SYN-CSM-001,State history,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;correction_recovery;state_recovery_time;tokens_per_query;p95_latency;total_cost
P1-Q18,SYN-CSM-001,Future-leakage trap,2026-03-11T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q19,SYN-CSM-001,Retrieval relevance,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q20,SYN-CSM-001,Integrated answer,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;temporal_consistency;correction_recovery;expected_calibration_error;tokens_per_query;p95_latency;total_cost
P2-Q01,SYN-CSM-002,Current state,2026-02-01T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P2-Q02,SYN-CSM-002,Historical fact,2026-02-01T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q03,SYN-CSM-002,Contradiction detection,2026-02-10T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;contradiction_handling;state_accuracy;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P2-Q04,SYN-CSM-002,Duplicate evidence,2026-02-11T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;contradiction_handling;tokens_per_query;p95_latency;total_cost
P2-Q05,SYN-CSM-002,State lifecycle,2026-02-11T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;contradiction_handling;tokens_per_query;p95_latency;total_cost
P2-Q06,SYN-CSM-002,Evidence support,2026-02-18T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q07,SYN-CSM-002,Correction recovery,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;contradiction_handling;correction_recovery;state_recovery_time;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P2-Q08,SYN-CSM-002,Pending-review awareness,2026-02-20T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q09,SYN-CSM-002,Latest valid fact,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q10,SYN-CSM-002,Exact quotation,2026-02-20T23:59:59+05:30,True,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q11,SYN-CSM-002,Evidence-supported answer,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q12,SYN-CSM-002,Citation verification,2026-02-20T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q13,SYN-CSM-002,Late-arriving evidence,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q14,SYN-CSM-002,Decision classification,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;decision_f1;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q15,SYN-CSM-002,Future-leakage trap,2026-02-17T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q16,SYN-CSM-002,Retraction handling,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;correction_recovery;tokens_per_query;p95_latency;total_cost
P2-Q17,SYN-CSM-002,Insufficient evidence,2026-02-20T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q18,SYN-CSM-002,State history,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;contradiction_handling;correction_recovery;state_recovery_time;tokens_per_query;p95_latency;total_cost
P2-Q19,SYN-CSM-002,Retrieval relevance,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P2-Q20,SYN-CSM-002,Integrated answer,2026-02-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;temporal_consistency;contradiction_handling;correction_recovery;expected_calibration_error;tokens_per_query;p95_latency;total_cost
P3-Q01,SYN-CSM-003,Current state,2026-04-01T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P3-Q02,SYN-CSM-003,Historical fact,2026-04-01T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q03,SYN-CSM-003,Trend reasoning,2026-04-08T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q04,SYN-CSM-003,Medication reconciliation,2026-04-09T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P3-Q05,SYN-CSM-003,State lifecycle,2026-04-09T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q06,SYN-CSM-003,Late-arriving evidence,2026-04-12T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q07,SYN-CSM-003,Rare-detail retrieval,2026-04-22T23:59:59+05:30,False,True,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q08,SYN-CSM-003,Retraction handling,2026-04-15T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;correction_recovery;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P3-Q09,SYN-CSM-003,Latest valid fact,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q10,SYN-CSM-003,Memory update,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;memory_update_accuracy;state_recovery_time;tokens_per_query;p95_latency;total_cost
P3-Q11,SYN-CSM-003,State dependency,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q12,SYN-CSM-003,Pending-review awareness,2026-04-22T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q13,SYN-CSM-003,Exact quotation,2026-04-22T23:59:59+05:30,True,True,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q14,SYN-CSM-003,Decision classification,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;decision_f1;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q15,SYN-CSM-003,Future-leakage trap,2026-04-21T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q16,SYN-CSM-003,Evidence-supported answer,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q17,SYN-CSM-003,Citation verification,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q18,SYN-CSM-003,Insufficient evidence,2026-04-22T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q19,SYN-CSM-003,Temporal ordering,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P3-Q20,SYN-CSM-003,Integrated answer,2026-04-22T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;state_accuracy;memory_update_accuracy;temporal_consistency;correction_recovery;expected_calibration_error;tokens_per_query;p95_latency;total_cost
